月份/地点,东铁营预测,东铁营实际
24.0,33.996857,48.0
31.0,80.92443,78.0
41.0,31.78475,52.0
25.0,33.42972,29.0
34.0,34.14364,72.0
22.0,2.7171717,4.0
19.0,45.235985,85.0
20.0,39.65406,108.0
39.0,37.198574,27.0
27.0,36.020256,70.0
29.0,59.96615,51.0
44.0,37.939327,42.0
35.0,39.56242,51.0
23.0,29.233992,32.0
30.0,105.44904,110.0
11.0,51.32381,51.0
12.0,46.100815,47.0
13.0,38.642277,35.0
21.0,9.108851,9.0
48.0,69.960526,63.0
32.0,48.361973,56.0
43.0,30.188274,28.0
16.0,53.14579,57.0
15.0,54.648197,65.0
42.0,27.685854,24.0
26.0,32.88605,87.0
28.0,49.965576,61.0
18.0,47.07287,73.0
46.0,79.165276,81.0
17.0,50.068104,47.0
45.0,60.375256,33.0
38.0,38.525402,16.000002
36.0,40.08893,34.0
47.0,84.170364,110.0
40.0,44.39237,34.0
37.0,38.78489,50.0
14.0,47.159447,42.0
33.0,18.046263,58.0
