月份/地点,德胜预测,德胜实际
39.0,58.113533,58.0
43.0,308.4547,252.0
15.0,1087.7804,1066.0
36.0,102.021416,107.00001
41.0,197.30246,258.0
17.0,762.86365,1018.0
34.0,61.582108,63.0
45.0,246.12244,244.0
27.0,1020.6319,1153.0
25.0,847.6882,1412.0001
14.0,1217.6655,1231.0
47.0,166.99477,161.0
19.0,936.7854,1104.0
46.0,205.9011,270.0
22.0,1017.385,1226.0
20.0,1065.6178,947.0
18.0,961.41504,1009.0
33.0,59.154022,59.999996
40.0,87.24101,85.00001
30.0,272.72946,290.0
28.0,978.58826,674.0
29.0,409.3101,397.0
13.0,1191.7117,1286.0
12.0,1160.4443,1218.0
37.0,89.2992,89.0
32.0,81.94638,84.00001
42.0,283.52823,318.0
38.0,51.281116,50.999996
23.0,1234.4258,1223.0
24.0,1138.5933,1032.0
16.0,875.18256,923.0
48.0,97.38194,239.99998
11.0,966.60876,1148.0
44.0,286.49792,252.0
21.0,819.50214,1057.0
35.0,88.89581,101.99999
31.0,169.39584,186.99998
26.0,1469.7484,1227.0
