月份/地点,东铁营预测,东铁营实际
24.0,26.28911,145.0
38.0,33.41032,33.0
44.0,70.59454,73.0
40.0,40.02806,38.0
21.0,15.673815,16.0
17.0,54.931133,58.000004
48.0,53.0298,61.0
33.0,83.07694,84.0
19.0,53.56373,57.000004
35.0,76.869316,97.0
20.0,22.400654,21.0
29.0,59.234516,66.0
18.0,60.80187,59.000004
27.0,39.813705,60.000004
47.0,42.016373,36.0
42.0,40.131535,36.0
41.0,39.91656,47.000004
45.0,66.93406,56.000004
14.0,22.889072,22.0
22.0,11.443097,11.0
46.0,35.569218,54.0
28.0,48.333336,45.000004
25.0,41.738197,45.000004
11.0,70.24065,59.000004
15.0,30.353035,35.0
32.0,44.694714,90.0
30.0,73.111496,74.0
26.0,44.990074,42.0
37.0,52.61944,50.0
34.0,94.56052,96.00001
23.0,26.631933,50.0
12.0,66.88506,71.0
31.0,46.77636,87.0
39.0,36.847553,20.0
13.0,47.824173,42.0
36.0,66.29452,113.0
16.0,39.53324,44.000004
43.0,58.940964,27.0
