月份/地点,东直门预测,东直门实际
13.0,26.925076,24.0
30.0,16.563154,13.0
14.0,21.3314,20.0
27.0,34.755997,32.0
47.0,252.90419,286.0
41.0,93.24751,131.0
34.0,2.0679781,2.0
35.0,12.602585,21.0
23.0,11.554338,19.0
46.0,184.98077,168.0
11.0,23.672888,24.0
25.0,7.1912155,7.0
21.0,7.457522,6.0
38.0,34.987427,71.99999
48.0,286.63873,261.0
16.0,12.785975,37.0
12.0,27.302328,28.999998
45.0,130.4335,143.0
31.0,12.914274,22.0
26.0,24.665016,42.0
24.0,2.034523,2.0
29.0,10.96225,10.0
32.0,5.5226946,4.0000005
17.0,10.772438,118.0
39.0,57.265663,189.0
33.0,3.237395,7.0
37.0,16.848837,176.0
28.0,30.105473,50.0
15.0,15.879709,92.0
20.0,13.640411,86.0
43.0,89.79243,130.0
40.0,79.39865,132.0
22.0,12.637596,25.0
36.0,17.772747,38.0
42.0,98.9507,140.0
44.0,94.27096,288.0
18.0,13.9130945,69.0
19.0,13.034572,147.0
