月份/地点,德胜预测,德胜实际
34.0,1977.8702,1860.0
36.0,2311.3066,2620.0
12.0,187.39767,204.0
25.0,178.8962,159.0
46.0,3313.2793,3201.0
29.0,270.82257,965.99994
42.0,3196.9954,3190.0
18.0,202.10986,194.0
44.0,3288.7,3271.0
28.0,175.06886,383.0
27.0,172.79291,173.0
14.0,211.70596,150.0
41.0,3037.2659,3612.0002
21.0,189.933,218.00002
47.0,3312.448,3290.0
32.0,1679.3737,1818.0
16.0,203.72461,215.00002
45.0,3313.26,3165.0
13.0,196.4347,239.0
22.0,196.7655,211.0
24.0,194.00018,140.0
11.0,185.62485,140.0
15.0,205.3161,218.00002
48.0,3320.6934,3445.0
38.0,2835.7678,2349.0
17.0,202.4426,212.0
23.0,199.07227,201.00002
37.0,2576.6543,2965.0
33.0,1869.0817,1782.0
31.0,1432.3901,1423.0
19.0,196.34818,202.00002
30.0,921.2663,1160.0
20.0,192.15482,206.0
35.0,2111.737,2198.0
26.0,174.35255,129.0
39.0,2876.5278,3151.0
40.0,3019.7856,2652.0
43.0,3243.8738,3310.0
