月份/地点,广安门外预测,广安门外实际
26.0,66.13326,67.0
27.0,71.65614,67.0
45.0,52.0478,56.0
18.0,19.783766,19.000002
25.0,114.69823,108.0
12.0,9.050933,22.0
19.0,17.14399,17.0
11.0,9.225898,8.0
29.0,74.503654,77.0
16.0,8.937548,9.0
37.0,84.8687,80.0
40.0,77.29985,75.0
28.0,66.08394,77.0
13.0,17.639791,20.0
41.0,81.8375,127.0
35.0,127.661934,173.0
23.0,166.15376,194.99998
33.0,180.99872,185.0
32.0,183.63943,172.0
21.0,37.027634,62.0
31.0,104.24744,159.0
38.0,37.872986,37.0
46.0,72.374596,68.0
30.0,79.45652,98.99999
22.0,80.353065,136.0
15.0,9.200195,21.0
17.0,11.579354,13.000002
42.0,132.85983,85.0
47.0,81.11011,70.0
44.0,36.291553,35.0
34.0,167.78311,153.0
48.0,78.77795,52.0
36.0,163.30751,119.0
14.0,11.907077,19.000002
39.0,39.656403,74.0
24.0,255.61357,143.0
20.0,28.322645,42.0
43.0,81.98257,42.0
