月份/地点,东华门预测,东华门实际
23.0,158.70865,368.0
42.0,825.1672,679.0
38.0,992.2912,986.0
39.0,866.5237,1217.0
46.0,580.0388,444.0
43.0,678.1827,622.00006
15.0,528.556,738.0
19.0,410.92426,610.0
16.0,626.0727,568.0
28.0,1138.0059,999.0
24.0,96.24243,108.0
13.0,476.58115,623.0
41.0,853.0309,942.0
26.0,643.2328,978.0
29.0,952.7102,853.0
12.0,537.75653,499.0
27.0,1018.15625,1139.0
47.0,449.1507,587.0
48.0,470.35336,453.0
44.0,612.13007,703.0
45.0,629.9585,619.0
37.0,785.1321,1175.0
25.0,96.24243,935.0
35.0,762.871,807.0
18.0,433.05954,519.0
21.0,324.96674,491.0
17.0,533.31995,487.0
32.0,845.8219,1080.0
30.0,819.30756,858.0
34.0,888.1251,832.0
22.0,296.8382,404.0
36.0,733.6667,897.0
31.0,800.7893,933.0
33.0,946.01404,1010.0
14.0,523.64813,605.0
40.0,1011.01,981.0
20.0,487.34232,413.0
11.0,712.1278,476.0
