月份/地点,卢沟桥乡预测,卢沟桥乡实际
33.0,122.88194,125.0
24.0,70.91363,179.0
25.0,58.54808,60.0
44.0,50.007996,52.0
11.0,39.654648,57.0
45.0,44.312508,45.0
29.0,90.2619,84.0
48.0,33.288765,33.0
30.0,68.33722,168.0
42.0,33.784466,35.0
20.0,35.3877,67.0
38.0,88.10643,91.0
35.0,145.54861,154.0
21.0,36.583046,74.00001
36.0,121.97537,126.0
39.0,106.46955,104.0
40.0,123.311104,113.0
16.0,58.54561,50.0
46.0,54.571274,53.0
47.0,56.22095,59.000004
34.0,143.87787,137.0
14.0,29.574322,28.0
12.0,61.20889,62.000004
22.0,44.773815,63.000008
32.0,99.00274,101.0
23.0,58.73715,105.0
15.0,50.716293,48.000004
26.0,45.17749,43.0
41.0,87.56765,98.99999
13.0,43.013947,54.999996
18.0,54.25731,54.0
43.0,45.390804,45.0
31.0,70.49071,166.0
28.0,96.031166,72.0
27.0,54.117924,80.0
19.0,55.868366,54.999996
37.0,81.96233,142.0
17.0,53.760403,41.000004
