月份/地点,广安门外预测,广安门外实际
28.0,263.47876,259.0
45.0,31.583948,24.0
48.0,73.33105,77.99999
21.0,539.52637,660.0
43.0,28.18413,22.0
16.0,597.8274,626.0
20.0,469.2924,572.0
47.0,46.37354,125.0
44.0,29.112019,32.0
27.0,358.86667,413.0
13.0,284.06165,540.0
35.0,14.398268,22.0
32.0,18.581974,18.0
29.0,172.42331,176.0
19.0,581.63947,560.0
36.0,13.248162,9.0
11.0,268.7261,472.0
38.0,9.039142,9.0
26.0,436.41812,410.0
40.0,20.574526,23.0
41.0,25.265968,32.0
42.0,25.968008,46.0
22.0,559.7485,815.0
31.0,15.291426,16.0
39.0,9.002498,9.0
34.0,19.27137,22.0
14.0,349.85544,205.0
37.0,11.778542,15.0
17.0,731.55756,604.0
18.0,599.28015,662.0
46.0,41.386513,34.0
33.0,20.045017,10.0
25.0,558.7303,421.99997
30.0,45.509098,64.0
15.0,397.8793,502.0
23.0,688.68066,804.0
12.0,423.09604,591.0
24.0,751.81805,840.99994
