月份/地点,东华门预测,东华门实际
28.0,70.25524,73.0
42.0,14.390873,14.0
21.0,11.896895,13.0
15.0,16.120724,25.0
30.0,69.445854,63.000004
38.0,23.072418,19.0
25.0,27.796944,43.0
39.0,23.006382,25.0
23.0,11.337318,35.0
44.0,7.474846,22.0
41.0,16.26943,26.0
11.0,16.023735,20.0
20.0,12.24153,11.0
19.0,16.637367,14.0
47.0,12.371855,13.0
48.0,12.08978,34.0
40.0,22.034306,21.0
32.0,70.763466,68.0
14.0,18.580433,18.0
46.0,5.996307,6.0
18.0,7.850729,8.0
31.0,74.319305,90.0
33.0,59.199257,97.0
17.0,10.981457,17.0
12.0,11.77938,11.0
37.0,27.365189,31.0
43.0,7.093188,7.0
45.0,6.0123897,22.0
26.0,44.41683,37.0
34.0,53.985363,52.0
13.0,9.921452,16.0
29.0,62.863415,74.0
22.0,11.939482,9.0
16.0,14.683672,24.0
27.0,63.222393,53.0
35.0,38.680973,74.0
36.0,34.678707,95.00001
24.0,16.776588,11.0
