月份/地点,建外预测,建外实际
22.0,94.10658,79.0
28.0,176.62877,315.0
23.0,94.1201,353.0
24.0,131.72166,342.0
19.0,340.88074,323.0
31.0,195.49219,147.0
38.0,229.76189,141.0
11.0,0.828283,6.0
20.0,233.13004,420.0
42.0,181.8528,153.0
33.0,165.88048,221.0
43.0,168.00668,154.0
21.0,159.94113,249.0
14.0,137.22072,121.0
37.0,219.55164,278.0
45.0,137.73947,199.0
17.0,498.76178,518.0
32.0,171.34836,168.0
39.0,195.48935,206.0
15.0,263.42877,460.0
29.0,197.34204,234.0
16.0,451.2869,497.0
13.0,7.9493804,194.0
30.0,199.92743,300.0
40.0,173.96564,312.0
26.0,203.77795,185.0
44.0,147.24045,138.0
18.0,450.85077,413.0
41.0,178.65688,239.0
27.0,189.50508,220.0
46.0,145.30711,255.0
35.0,131.68538,300.0
47.0,184.76826,182.0
25.0,205.92778,170.0
48.0,193.60046,174.0
36.0,178.2729,285.0
34.0,155.65611,138.0
12.0,0.828283,17.0
