月份/地点,东铁营预测,东铁营实际
13.0,252.87038,259.0
40.0,76.698715,278.0
48.0,82.5004,91.99999
20.0,77.12173,78.0
15.0,151.38293,160.0
25.0,49.626064,83.0
28.0,61.35618,35.000004
47.0,102.79309,76.99999
27.0,53.620857,99.0
22.0,40.89419,30.000002
43.0,82.22578,436.99997
19.0,213.03563,259.0
26.0,48.918278,75.99999
35.0,92.4846,397.0
32.0,101.66296,107.0
37.0,105.84315,184.0
45.0,75.77964,478.0
11.0,1154.9323,1212.0
29.0,76.784775,50.0
14.0,165.23322,179.0
42.0,82.08718,410.0
46.0,97.2922,340.0
18.0,298.81714,284.0
30.0,101.26091,167.0
21.0,11.207757,11.0
34.0,92.367386,85.99999
33.0,97.11603,73.0
23.0,48.11883,50.0
24.0,50.287243,94.0
31.0,106.20824,146.0
41.0,76.48741,528.0
17.0,293.1007,258.0
38.0,107.87609,109.99999
39.0,93.9692,31.999996
44.0,76.40309,724.0
12.0,607.65875,385.0
36.0,99.84174,321.0
16.0,215.79941,236.0
