月份/地点,马家堡预测,马家堡实际
34.0,23.518574,24.0
42.0,20.188751,17.0
35.0,26.818964,27.0
18.0,8.065446,8.0
45.0,28.607206,27.0
28.0,14.652658,13.999999
21.0,1.976634,8.0
37.0,21.802862,33.0
11.0,3.1308908,3.0
27.0,11.665137,12.0
16.0,6.526196,6.9999995
46.0,28.1293,32.0
20.0,4.0094533,4.0
15.0,4.7473946,4.9999995
43.0,24.542171,32.0
24.0,2.5455782,105.0
25.0,6.953752,6.9999995
48.0,33.777664,40.0
23.0,1.7119486,11.0
32.0,36.466434,36.0
30.0,40.45435,45.0
31.0,42.102707,57.000004
13.0,5.065022,4.9999995
47.0,31.07912,17.0
44.0,30.062443,27.999998
26.0,10.453172,12.0
22.0,1.0273604,1.0
38.0,9.236814,9.0
29.0,28.738825,26.0
41.0,28.562216,30.0
17.0,8.3383255,9.0
39.0,15.215858,29.0
14.0,4.877506,2.0
12.0,4.019635,6.0
36.0,28.059746,36.0
40.0,30.41804,36.0
33.0,23.309845,41.0
19.0,8.009428,10.0
