月份/地点,海淀预测,海淀实际
27.0,20.613945,14.0
20.0,9.151591,20.0
24.0,14.09893,47.0
37.0,10.780874,90.0
18.0,5.305886,23.0
12.0,0.9977097,1.0
16.0,1.2347646,17.0
15.0,0.99836856,1.0
25.0,22.103455,21.0
48.0,94.518936,86.0
35.0,11.016859,23.0
13.0,0.9877864,1.0
30.0,11.254421,32.0
21.0,10.3998375,10.0
33.0,11.004063,21.0
29.0,14.400929,13.0
28.0,17.489532,14.0
22.0,9.688263,16.0
19.0,8.187279,7.0
46.0,91.42393,81.0
47.0,84.319954,123.0
41.0,101.712234,105.0
42.0,100.4545,97.0
34.0,11.6826315,11.0
26.0,22.409027,24.0
38.0,26.817377,114.0
36.0,11.229969,15.0
45.0,94.21967,103.0
23.0,9.150074,46.0
43.0,103.19775,97.0
39.0,66.5847,121.0
40.0,109.82205,22.0
11.0,2.8707845,4.0
31.0,11.919534,18.0
14.0,0.992466,1.0
44.0,104.0007,79.0
32.0,11.417407,20.0
17.0,2.0471165,31.0
