月份/地点,广安门外预测,广安门外实际
43.0,2560.1514,2837.0
45.0,2795.1418,2930.0
14.0,17.357561,11.0
37.0,1859.426,1690.0
27.0,649.48676,684.0
22.0,122.838455,123.0
42.0,2497.6099,2403.0
15.0,17.33061,10.0
33.0,1298.4302,1931.0
28.0,746.86395,552.0
26.0,516.5239,576.0
36.0,1676.3805,2345.0
24.0,261.88406,247.00002
21.0,46.96316,133.0
31.0,846.7073,1248.0
39.0,1938.0322,2518.0
40.0,2205.552,2091.0
30.0,798.7196,758.0
17.0,17.323404,21.0
41.0,2365.5232,2296.0
13.0,17.345251,18.0
19.0,18.594248,17.0
47.0,2951.2383,2891.0
38.0,1909.0382,1280.0
20.0,19.561563,69.0
29.0,745.47266,742.0
35.0,1611.5118,1702.0
46.0,2906.474,3055.0
16.0,17.293394,20.0
25.0,368.71912,386.00003
32.0,1025.7686,1883.0001
23.0,199.8144,142.0
12.0,17.359694,13.0
34.0,1475.2333,1959.0
11.0,17.366964,14.0
44.0,2672.233,3092.0
48.0,3051.6887,3122.0
18.0,17.377209,28.999996
