月份/地点,酒仙桥预测,酒仙桥实际
29.0,88.49629,79.0
13.0,12.858586,158.0
36.0,172.0996,144.0
21.0,98.106995,126.0
27.0,98.28824,291.0
42.0,101.7608,114.99999
11.0,12.858586,38.0
33.0,34.66241,31.0
24.0,79.996864,167.0
44.0,107.081924,107.0
35.0,108.42551,171.0
28.0,101.719696,141.0
43.0,101.29227,95.0
46.0,124.79897,174.0
38.0,142.63321,123.0
31.0,53.75633,78.0
15.0,79.945625,300.0
26.0,93.963196,278.0
17.0,148.66487,208.0
20.0,100.21499,88.0
47.0,133.99988,148.0
30.0,70.87538,65.0
12.0,12.858586,19.0
18.0,122.78779,134.0
16.0,146.25127,212.00002
25.0,81.62008,64.0
40.0,110.97852,109.00001
48.0,126.878716,147.0
45.0,116.392876,94.0
22.0,81.50927,228.0
14.0,12.858586,164.0
34.0,77.293076,38.0
41.0,105.537796,82.99999
37.0,182.38954,178.0
23.0,60.74449,384.0
39.0,122.02308,111.0
19.0,106.194855,108.0
32.0,33.292915,100.0
