月份/地点,广安门外预测,广安门外实际
19.0,465.10123,608.0
16.0,622.8258,434.0
44.0,85.76266,91.0
37.0,71.54975,66.0
17.0,498.6304,500.0
32.0,37.64347,37.0
40.0,35.48618,34.999996
13.0,670.12476,677.0
23.0,708.7251,987.0
14.0,704.7468,643.0
39.0,42.04503,41.0
45.0,84.204956,72.0
43.0,67.71036,110.0
33.0,57.83224,55.0
38.0,53.81547,75.0
12.0,601.9728,613.0
27.0,743.63763,855.0
22.0,703.74316,683.0
29.0,417.61508,437.0
46.0,69.48085,133.0
28.0,585.3592,530.0
11.0,525.5576,541.0
41.0,35.76416,98.0
18.0,468.38016,478.0
35.0,99.34905,100.0
30.0,245.8597,254.0
36.0,90.88248,87.0
24.0,853.1692,906.0
21.0,644.7424,677.0
31.0,86.26946,85.0
20.0,608.56476,548.0
48.0,86.91352,132.0
15.0,669.7815,627.0
26.0,837.4932,1040.0
25.0,798.30255,1128.0
47.0,79.47616,119.0
42.0,36.61312,131.0
34.0,86.66181,75.0
