月份/地点,前门预测,前门实际
31.0,128.81876,117.0
30.0,126.78603,130.0
38.0,54.80838,44.0
34.0,91.7917,86.0
32.0,105.36784,112.0
12.0,14.666667,127.00001
33.0,106.33568,80.0
27.0,106.54764,127.00001
43.0,81.40932,64.0
35.0,107.22742,120.0
15.0,79.19551,168.0
45.0,88.52775,129.0
37.0,64.78753,70.0
16.0,82.53026,184.0
25.0,96.41132,105.0
22.0,103.9747,248.00002
46.0,78.854996,125.99999
14.0,90.435295,62.000004
39.0,56.704266,65.0
19.0,112.78751,179.0
48.0,14.666667,17.0
13.0,81.95979,121.00001
24.0,51.552708,47.0
40.0,100.58964,101.0
20.0,106.99367,180.0
11.0,14.666667,103.0
21.0,116.29752,225.0
26.0,103.28613,79.0
36.0,105.785904,152.0
23.0,94.71392,187.0
41.0,95.38067,58.999996
28.0,109.31237,131.0
18.0,106.23397,157.0
42.0,88.69563,62.999996
29.0,122.16265,187.0
17.0,90.87996,188.0
47.0,14.666667,75.0
44.0,85.28275,89.0
