月份/地点,建外预测,建外实际
24.0,37.64681,73.0
39.0,29.18665,87.99999
25.0,43.126713,40.0
42.0,51.81373,47.0
40.0,21.821085,21.999998
38.0,33.254642,32.0
41.0,41.59132,54.000004
46.0,72.017044,104.99999
36.0,29.020351,53.0
22.0,15.607791,17.0
43.0,41.153908,40.0
48.0,92.66722,124.0
14.0,70.88875,123.0
44.0,32.080093,78.0
32.0,40.100967,42.0
16.0,92.796524,168.0
45.0,42.212208,92.0
47.0,85.84675,111.0
33.0,35.688995,36.0
29.0,103.83632,118.0
18.0,155.54057,151.99998
19.0,151.90613,182.0
23.0,29.014143,311.0
21.0,44.727005,189.0
34.0,60.69011,55.000004
28.0,84.93704,78.0
17.0,136.73932,90.0
30.0,99.91042,96.0
15.0,28.589727,241.0
31.0,72.19671,80.0
13.0,75.26033,78.0
20.0,106.90893,226.99998
12.0,62.4112,58.0
11.0,50.842514,25.0
37.0,29.545572,39.0
27.0,55.9949,35.0
26.0,42.73565,48.0
35.0,46.3953,84.0
