月份/地点,建外预测,建外实际
32.0,123.84404,127.0
44.0,182.44795,197.0
48.0,173.84772,176.0
40.0,144.73608,148.0
42.0,154.90045,162.0
17.0,122.62451,120.0
26.0,93.00013,103.99999
23.0,35.170185,35.0
20.0,67.95456,70.0
47.0,182.02641,201.0
27.0,108.889175,108.99999
21.0,38.570534,73.0
46.0,170.45287,164.0
24.0,58.852543,65.0
15.0,85.25521,151.0
19.0,96.698875,71.99999
31.0,136.38658,131.0
18.0,115.2473,139.0
11.0,47.79512,46.0
33.0,161.57024,166.0
29.0,139.8608,309.0
22.0,13.774212,14.0
36.0,67.61466,66.99999
13.0,71.230576,68.0
25.0,70.075455,55.999996
43.0,173.94366,145.0
12.0,54.78219,55.0
28.0,116.63604,268.0
39.0,157.54118,156.0
45.0,152.80392,191.0
30.0,155.27121,201.0
35.0,84.809616,111.0
41.0,136.06206,185.0
16.0,101.792946,143.0
37.0,102.31201,76.0
14.0,87.3235,73.99999
34.0,129.1936,219.0
38.0,145.06236,70.0
