月份/地点,六里屯预测,六里屯实际
43.0,49.857407,49.0
34.0,80.31793,73.0
31.0,106.817894,100.0
32.0,87.64621,128.0
14.0,145.05418,148.0
45.0,18.766975,32.0
35.0,62.57525,155.0
27.0,109.770004,136.0
33.0,104.94311,89.0
11.0,36.256973,36.0
24.0,98.81946,135.0
17.0,315.45047,301.0
16.0,230.10252,366.0
30.0,77.79473,134.0
36.0,124.26692,188.0
20.0,63.814144,100.0
25.0,96.78319,70.0
37.0,165.1399,187.0
13.0,-1.414141,220.0
12.0,-1.414141,3.0
19.0,134.30971,117.00001
29.0,86.805534,94.0
48.0,15.707824,14.0
44.0,30.81349,26.0
42.0,94.80836,58.999996
23.0,28.691174,161.0
15.0,119.90035,269.0
41.0,102.78449,119.0
28.0,115.52859,97.0
39.0,84.44365,116.0
21.0,32.65435,113.00001
22.0,38.6614,86.0
46.0,17.926609,38.0
18.0,242.51732,192.0
38.0,168.0204,82.0
26.0,54.11899,146.0
47.0,21.83938,23.0
40.0,87.33971,134.0
