月份/地点,建外预测,建外实际
29.0,349.65512,328.0
44.0,484.27155,517.0
17.0,586.85345,647.0
26.0,374.1621,393.0
36.0,278.94894,279.99997
38.0,360.56702,559.0
13.0,749.97687,661.0
37.0,327.673,405.0
12.0,792.0681,710.0
43.0,465.7935,559.0
11.0,773.4335,808.0
24.0,192.06448,207.0
31.0,241.37914,219.0
32.0,132.28789,124.00001
25.0,298.20972,298.0
22.0,35.373734,45.0
42.0,435.64676,594.0
41.0,417.9408,483.0
46.0,467.3702,425.99997
19.0,496.93423,381.99997
40.0,368.63663,367.0
35.0,204.40167,177.0
20.0,325.12106,437.99997
27.0,407.01233,371.99997
48.0,327.0927,361.0
33.0,115.521454,121.00001
34.0,145.82883,270.0
14.0,664.3033,948.0
30.0,286.0858,249.0
28.0,407.40134,449.99997
21.0,151.92545,208.0
47.0,417.9707,350.0
16.0,557.92285,914.0
15.0,580.8487,994.99994
39.0,362.88843,454.0
18.0,570.08905,619.0
45.0,483.12427,549.0
23.0,35.373734,220.0
