月份/地点,王佐镇预测,王佐镇实际
25.0,39.80766,40.0
41.0,77.00492,83.0
11.0,104.04731,139.0
30.0,44.96139,66.0
21.0,34.391434,105.0
14.0,46.567352,41.0
31.0,33.054047,116.00001
48.0,12.35505,12.0
16.0,32.07612,108.00001
12.0,110.1574,98.0
19.0,90.52656,98.0
33.0,80.49744,143.0
42.0,38.574135,36.0
23.0,24.95715,35.0
29.0,78.41788,49.0
22.0,37.59784,27.000002
38.0,13.379903,13.0
24.0,15.212268,134.00002
13.0,72.31202,75.0
32.0,59.330784,118.0
34.0,98.65922,83.0
47.0,21.119549,24.0
18.0,95.836006,126.00001
26.0,26.182713,26.0
36.0,34.037487,32.0
45.0,35.718468,34.0
17.0,55.05919,138.0
39.0,32.748726,33.0
27.0,17.94894,203.0
35.0,57.112453,62.0
44.0,37.031353,38.0
28.0,112.31408,96.0
40.0,67.36891,44.0
20.0,63.528023,59.0
43.0,29.029413,42.0
15.0,28.570957,94.0
46.0,31.301199,23.0
37.0,21.550718,32.0
