月份/地点,酒仙桥预测,酒仙桥实际
26.0,41.47921,34.0
40.0,39.160088,53.0
11.0,37.103462,186.0
16.0,93.41778,206.00002
24.0,37.53558,142.0
38.0,33.33383,29.000002
17.0,117.39114,156.0
14.0,61.7532,257.0
33.0,68.56614,69.0
20.0,103.06106,102.0
37.0,64.41851,92.0
44.0,19.835766,19.0
31.0,36.903545,149.0
43.0,27.437683,27.0
22.0,75.40116,77.0
41.0,46.94736,73.0
19.0,103.26946,111.99999
45.0,17.385416,27.0
32.0,59.521492,52.0
47.0,3.7078178,4.0
15.0,84.2463,371.0
29.0,44.15466,402.0
18.0,135.46939,113.0
35.0,221.04128,229.0
28.0,50.094498,260.0
46.0,8.095779,10.0
25.0,30.380142,31.0
36.0,99.821785,83.0
42.0,44.242485,35.0
34.0,207.45659,220.0
30.0,40.183456,204.0
27.0,49.24216,51.0
13.0,41.53568,277.0
21.0,86.96148,234.0
23.0,49.8713,204.0
48.0,-0.020202067,12.0
12.0,30.987371,147.0
39.0,26.24736,99.0
