月份/地点,站点2预测,站点2实际
18.0,224.42137,335.0
25.0,71.39964,64.0
44.0,174.3834,164.99998
22.0,157.16537,138.0
24.0,118.85249,119.0
14.0,200.8805,195.0
29.0,197.15083,196.0
41.0,145.25507,141.0
45.0,179.45566,186.00002
33.0,177.89548,234.0
32.0,191.14723,188.0
43.0,173.27269,143.0
27.0,158.12456,279.00003
46.0,181.70032,268.00003
20.0,239.23427,234.0
36.0,168.5333,153.0
39.0,128.58156,115.0
35.0,154.42043,261.0
40.0,129.77077,146.0
12.0,198.57707,186.00002
34.0,179.93396,126.0
47.0,205.22801,280.0
17.0,213.07724,269.0
42.0,161.4327,164.99998
11.0,197.97488,200.0
37.0,162.3934,166.99998
16.0,195.19829,283.00003
23.0,150.11844,205.00002
31.0,201.55585,179.00002
13.0,193.15959,245.00002
19.0,244.15373,291.00003
30.0,193.69896,242.0
26.0,103.019356,193.00003
21.0,196.695,141.0
15.0,194.1148,237.00002
28.0,196.4346,155.0
38.0,154.53307,63.0
48.0,231.79083,187.0
