事发街道,事发区县,月份,立案量,年份,均值,方差,数据量,出线,日期
白纸坊,西城区,-01-,107,2015,27.70833333,24.27673638,48,3,Jan-15
白纸坊,西城区,-02-,59,2015,27.70833333,24.27673638,48,0,Feb-15
白纸坊,西城区,-03-,66,2015,27.70833333,24.27673638,48,0,Mar-15
白纸坊,西城区,-04-,71,2015,27.70833333,24.27673638,48,0,Apr-15
白纸坊,西城区,-05-,71,2015,27.70833333,24.27673638,48,0,May-15
白纸坊,西城区,-06-,94,2015,27.70833333,24.27673638,48,2,Jun-15
白纸坊,西城区,-07-,50,2015,27.70833333,24.27673638,48,0,Jul-15
白纸坊,西城区,-08-,39,2015,27.70833333,24.27673638,48,0,Aug-15
白纸坊,西城区,-09-,31,2015,27.70833333,24.27673638,48,0,Sep-15
白纸坊,西城区,-10-,42,2015,27.70833333,24.27673638,48,0,Oct-15
白纸坊,西城区,-11-,24,2015,27.70833333,24.27673638,48,0,Nov-15
白纸坊,西城区,-12-,17,2015,27.70833333,24.27673638,48,0,Dec-15
白纸坊,西城区,-01-,16,2016,27.70833333,24.27673638,48,0,Jan-16
白纸坊,西城区,-02-,8,2016,27.70833333,24.27673638,48,0,Feb-16
白纸坊,西城区,-03-,7,2016,27.70833333,24.27673638,48,0,Mar-16
白纸坊,西城区,-04-,9,2016,27.70833333,24.27673638,48,0,Apr-16
白纸坊,西城区,-05-,22,2016,27.70833333,24.27673638,48,0,May-16
白纸坊,西城区,-06-,17,2016,27.70833333,24.27673638,48,0,Jun-16
白纸坊,西城区,-07-,62,2016,27.70833333,24.27673638,48,0,Jul-16
白纸坊,西城区,-08-,42,2016,27.70833333,24.27673638,48,0,Aug-16
白纸坊,西城区,-09-,49,2016,27.70833333,24.27673638,48,0,Sep-16
白纸坊,西城区,-10-,51,2016,27.70833333,24.27673638,48,0,Oct-16
白纸坊,西城区,-11-,39,2016,27.70833333,24.27673638,48,0,Nov-16
白纸坊,西城区,-12-,8,2016,27.70833333,24.27673638,48,0,Dec-16
白纸坊,西城区,-01-,4,2017,27.70833333,24.27673638,48,0,Jan-17
白纸坊,西城区,-02-,16,2017,27.70833333,24.27673638,48,0,Feb-17
白纸坊,西城区,-03-,13,2017,27.70833333,24.27673638,48,0,Mar-17
白纸坊,西城区,-04-,14,2017,27.70833333,24.27673638,48,0,Apr-17
白纸坊,西城区,-05-,16,2017,27.70833333,24.27673638,48,0,May-17
白纸坊,西城区,-06-,23,2017,27.70833333,24.27673638,48,0,Jun-17
