事发街道,事发区县,月份,立案量,年份,均值,方差,数据量,出线,年月,日期,
白纸坊,西城区,1,9,2015,73.5,116.1689892,48,0,24181,15/1,
白纸坊,西城区,2,11,2015,73.5,116.1689892,48,0,24182,15/2,
白纸坊,西城区,3,5,2015,73.5,116.1689892,48,0,24183,15/3,
白纸坊,西城区,4,3,2015,73.5,116.1689892,48,0,24184,15/4,
白纸坊,西城区,5,4,2015,73.5,116.1689892,48,0,24185,15/5,
白纸坊,西城区,6,5,2015,73.5,116.1689892,48,0,24186,15/6,
白纸坊,西城区,7,3,2015,73.5,116.1689892,48,0,24187,15/7,
白纸坊,西城区,8,2,2015,73.5,116.1689892,48,0,24188,15/8,
白纸坊,西城区,9,5,2015,73.5,116.1689892,48,0,24189,15/9,
白纸坊,西城区,10,7,2015,73.5,116.1689892,48,0,24190,15/10,
白纸坊,西城区,11,10,2015,73.5,116.1689892,48,0,24191,15/11,
白纸坊,西城区,12,5,2015,73.5,116.1689892,48,0,24192,15/12,
白纸坊,西城区,1,5,2016,73.5,116.1689892,48,0,24193,16/1,
白纸坊,西城区,2,12,2016,73.5,116.1689892,48,0,24194,16/2,
白纸坊,西城区,3,2,2016,73.5,116.1689892,48,0,24195,16/3,
白纸坊,西城区,4,2,2016,73.5,116.1689892,48,0,24196,16/4,
白纸坊,西城区,5,3,2016,73.5,116.1689892,48,0,24197,16/5,
白纸坊,西城区,6,17,2016,73.5,116.1689892,48,0,24198,16/6,
白纸坊,西城区,7,25,2016,73.5,116.1689892,48,0,24199,16/7,
白纸坊,西城区,8,37,2016,73.5,116.1689892,48,0,24200,16/8,
白纸坊,西城区,9,47,2016,73.5,116.1689892,48,0,24201,16/9,
白纸坊,西城区,10,47,2016,73.5,116.1689892,48,0,24202,16/10,
白纸坊,西城区,11,23,2016,73.5,116.1689892,48,0,24203,16/11,
白纸坊,西城区,12,17,2016,73.5,116.1689892,48,0,24204,16/12,
白纸坊,西城区,1,33,2017,73.5,116.1689892,48,0,24205,17/1,
白纸坊,西城区,2,60,2017,73.5,116.1689892,48,0,24206,17/2,
白纸坊,西城区,3,41,2017,73.5,116.1689892,48,0,24207,17/3,
白纸坊,西城区,4,31,2017,73.5,116.1689892,48,0,24208,17/4,
白纸坊,西城区,5,39,2017,73.5,116.1689892,48,0,24209,17/5,
白纸坊,西城区,6,28,2017,73.5,116.1689892,48,0,24210,17/6,
白纸坊,西城区,7,11,2017,73.5,116.1689892,48,0,24211,17/7,
白纸坊,西城区,8,17,2017,73.5,116.1689892,48,0,24212,17/8,
白纸坊,西城区,9,75,2017,73.5,116.1689892,48,0,24213,17/9,
白纸坊,西城区,10,105,2017,73.5,116.1689892,48,0,24214,17/10,
白纸坊,西城区,11,172,2017,73.5,116.1689892,48,0,24215,17/11,
白纸坊,西城区,12,156,2017,73.5,116.1689892,48,0,24216,17/12,
白纸坊,西城区,1,251,2018,73.5,116.1689892,48,0,24217,18/1,
白纸坊,西城区,2,119,2018,73.5,116.1689892,48,0,24218,18/2,
白纸坊,西城区,3,41,2018,73.5,116.1689892,48,0,24219,18/3,
白纸坊,西城区,4,49,2018,73.5,116.1689892,48,0,24220,18/4,
白纸坊,西城区,5,98,2018,73.5,116.1689892,48,0,24221,18/5,
白纸坊,西城区,6,93,2018,73.5,116.1689892,48,0,24222,18/6,
白纸坊,西城区,7,152,2018,73.5,116.1689892,48,0,24223,18/7,
白纸坊,西城区,8,164,2018,73.5,116.1689892,48,0,24224,18/8,
白纸坊,西城区,9,253,2018,73.5,116.1689892,48,0,24225,18/9,
白纸坊,西城区,10,252,2018,73.5,116.1689892,48,0,24226,18/10,
白纸坊,西城区,11,340,2018,73.5,116.1689892,48,2,24227,18/11,
白纸坊,西城区,12,642,2018,73.5,116.1689892,48,3,24228,18/12,
朝外,朝阳区,1,227,2015,433.0416667,267.5269689,48,0,24181,15/1,
朝外,朝阳区,2,146,2015,433.0416667,267.5269689,48,0,24182,15/2,
朝外,朝阳区,3,184,2015,433.0416667,267.5269689,48,0,24183,15/3,
朝外,朝阳区,4,268,2015,433.0416667,267.5269689,48,0,24184,15/4,
朝外,朝阳区,5,374,2015,433.0416667,267.5269689,48,0,24185,15/5,
朝外,朝阳区,6,562,2015,433.0416667,267.5269689,48,0,24186,15/6,
朝外,朝阳区,7,1002,2015,433.0416667,267.5269689,48,2,24187,15/7,
朝外,朝阳区,8,774,2015,433.0416667,267.5269689,48,0,24188,15/8,
朝外,朝阳区,9,744,2015,433.0416667,267.5269689,48,0,24189,15/9,
朝外,朝阳区,10,675,2015,433.0416667,267.5269689,48,0,24190,15/10,
朝外,朝阳区,11,1057,2015,433.0416667,267.5269689,48,2,24191,15/11,
