事发街道,事发区县,月份,立案量,年份,均值,方差,数据量,出线,日期
白纸坊,西城区,-01-,9,2015,73.5,116.1689892,48,0,Jan-15
白纸坊,西城区,-02-,11,2015,73.5,116.1689892,48,0,Feb-15
白纸坊,西城区,-03-,5,2015,73.5,116.1689892,48,0,Mar-15
白纸坊,西城区,-04-,3,2015,73.5,116.1689892,48,0,Apr-15
白纸坊,西城区,-05-,4,2015,73.5,116.1689892,48,0,May-15
白纸坊,西城区,-06-,5,2015,73.5,116.1689892,48,0,Jun-15
白纸坊,西城区,-07-,3,2015,73.5,116.1689892,48,0,Jul-15
白纸坊,西城区,-08-,2,2015,73.5,116.1689892,48,0,Aug-15
白纸坊,西城区,-09-,5,2015,73.5,116.1689892,48,0,Sep-15
白纸坊,西城区,-10-,7,2015,73.5,116.1689892,48,0,Oct-15
白纸坊,西城区,-11-,10,2015,73.5,116.1689892,48,0,Nov-15
白纸坊,西城区,-12-,5,2015,73.5,116.1689892,48,0,Dec-15
白纸坊,西城区,-01-,5,2016,73.5,116.1689892,48,0,Jan-16
白纸坊,西城区,-02-,12,2016,73.5,116.1689892,48,0,Feb-16
白纸坊,西城区,-03-,2,2016,73.5,116.1689892,48,0,Mar-16
白纸坊,西城区,-04-,2,2016,73.5,116.1689892,48,0,Apr-16
白纸坊,西城区,-05-,3,2016,73.5,116.1689892,48,0,May-16
白纸坊,西城区,-06-,17,2016,73.5,116.1689892,48,0,Jun-16
白纸坊,西城区,-07-,25,2016,73.5,116.1689892,48,0,Jul-16
白纸坊,西城区,-08-,37,2016,73.5,116.1689892,48,0,Aug-16
白纸坊,西城区,-09-,47,2016,73.5,116.1689892,48,0,Sep-16
白纸坊,西城区,-10-,47,2016,73.5,116.1689892,48,0,Oct-16
白纸坊,西城区,-11-,23,2016,73.5,116.1689892,48,0,Nov-16
白纸坊,西城区,-12-,17,2016,73.5,116.1689892,48,0,Dec-16
白纸坊,西城区,-01-,33,2017,73.5,116.1689892,48,0,Jan-17
白纸坊,西城区,-02-,60,2017,73.5,116.1689892,48,0,Feb-17
白纸坊,西城区,-03-,41,2017,73.5,116.1689892,48,0,Mar-17
白纸坊,西城区,-04-,31,2017,73.5,116.1689892,48,0,Apr-17
白纸坊,西城区,-05-,39,2017,73.5,116.1689892,48,0,May-17
白纸坊,西城区,-06-,28,2017,73.5,116.1689892,48,0,Jun-17
白纸坊,西城区,-07-,11,2017,73.5,116.1689892,48,0,Jul-17
白纸坊,西城区,-08-,17,2017,73.5,116.1689892,48,0,Aug-17
白纸坊,西城区,-09-,75,2017,73.5,116.1689892,48,0,Sep-17
白纸坊,西城区,-10-,105,2017,73.5,116.1689892,48,0,Oct-17
白纸坊,西城区,-11-,172,2017,73.5,116.1689892,48,0,Nov-17
白纸坊,西城区,-12-,156,2017,73.5,116.1689892,48,0,Dec-17
白纸坊,西城区,-01-,251,2018,73.5,116.1689892,48,0,Jan-18
白纸坊,西城区,-02-,119,2018,73.5,116.1689892,48,0,Feb-18
白纸坊,西城区,-03-,41,2018,73.5,116.1689892,48,0,Mar-18
白纸坊,西城区,-04-,49,2018,73.5,116.1689892,48,0,Apr-18
白纸坊,西城区,-05-,98,2018,73.5,116.1689892,48,0,May-18
白纸坊,西城区,-06-,93,2018,73.5,116.1689892,48,0,Jun-18
白纸坊,西城区,-07-,152,2018,73.5,116.1689892,48,0,Jul-18
白纸坊,西城区,-08-,164,2018,73.5,116.1689892,48,0,Aug-18
白纸坊,西城区,-09-,253,2018,73.5,116.1689892,48,0,Sep-18
白纸坊,西城区,-10-,252,2018,73.5,116.1689892,48,0,Oct-18
白纸坊,西城区,-11-,340,2018,73.5,116.1689892,48,2,Nov-18
白纸坊,西城区,-12-,642,2018,73.5,116.1689892,48,3,Dec-18
朝外,朝阳区,-01-,227,2015,433.0416667,267.5269689,48,0,Jan-15
朝外,朝阳区,-02-,146,2015,433.0416667,267.5269689,48,0,Feb-15
朝外,朝阳区,-03-,184,2015,433.0416667,267.5269689,48,0,Mar-15
