月份/地点,白纸坊预测,白纸坊实际,朝外预测,朝外实际,朝阳门预测,朝阳门实际,大红门预测,大红门实际,大栅栏预测,大栅栏实际,德胜预测,德胜实际,东华门预测,东华门实际,广安门外预测,广安门外实际,建外预测,建外实际,劲松预测,劲松实际,酒仙桥预测,酒仙桥实际,六里屯预测,六里屯实际,卢沟桥乡预测,卢沟桥乡实际,南磨房预测,南磨房实际,曙光预测,曙光实际,西长安街预测,西长安街实际,香河园预测,香河园实际,亚运村预测,亚运村实际,月坛预测,月坛实际
13.0,-1.2092093,13.0,123.38188,129.0,10.11809,8.0,10.070482,11.0,17.951002,13.0,147.4994,239.0,14.494653,16.0,4.8828826,18.0,61.063595,68.0,80.4378,87.0,30.764765,40.0,74.57408,74.0,7.6886888,15.0,45.434277,71.0,2.7673135,4.0,6.127259,30.0,63.320137,61.000004,87.902885,196.0,70.414856,110.0
44.0,4862.3506,5448.0,148.91103,140.0,2.865866,9.0,59.329174,69.0,1603.2665,1732.0,3109.0508,3271.0,5.908909,22.0,2765.5461,3092.0,163.8373,197.0,132.35202,143.0,231.97508,227.0,97.02369,89.0,102.64559,124.0,28.06263,23.0,276.613,302.0,2444.9458,2368.0,499.85208,512.00006,388.47467,420.0,2525.9634,2353.0
12.0,-1.2092093,29.0,111.70487,187.0,9.792262,19.999998,8.999374,9.0,19.41164,22.0,146.05193,204.0,13.15866,11.0,4.8828826,13.0,53.295628,55.0,69.2923,77.0,30.764765,31.0,68.37123,60.000004,7.881146,30.0,42.00397,73.0,4.1083684,3.0,23.32662,32.0,60.376053,62.0,82.41214,87.0,71.36004,70.0
36.0,1848.0059,2757.0,175.1696,176.0,31.470062,71.99999,51.616837,62.0,1121.3033,1178.0,2148.4443,2620.0,49.699997,94.99999,1576.805,2345.0,82.89402,67.0,35.35658,34.0,103.945114,120.0,173.50673,196.0,180.22623,214.99998,52.864918,50.0,116.738,108.0,1218.8829,1364.0,121.18527,153.0,297.9105,292.0,1284.5352,1323.0
19.0,-1.2092093,9.0,77.70818,60.000004,15.39144,15.0,22.265913,31.0,121.56492,118.0,202.3676,202.0,10.444991,14.0,4.8828826,17.0,56.068176,72.0,56.95418,60.0,31.166813,44.0,123.8919,182.0,33.341053,44.0,39.387383,33.0,21.737577,21.0,411.45468,439.0,58.962986,49.999996,8.156156,48.0,180.87285,174.0
46.0,5508.5894,5135.0,137.39027,149.0,2.865866,4.0,90.18318,98.0,1673.4391,1626.0,3193.9727,3201.0,5.908909,6.0,3006.5234,3055.0,167.47116,164.0,119.59646,109.0,212.88564,213.0,142.64845,146.0,123.84599,112.0,35.11202,34.0,267.468,241.00002,2998.974,3073.0,605.32275,714.0,511.96347,605.0,2590.166,2567.0
40.0,3667.4514,2979.0,195.09727,245.99998,14.426277,22.0,42.972095,46.0,1460.7131,1321.0,2922.1926,2652.0,20.697195,21.0,2112.3657,2091.0,137.3411,148.0,29.062674,316.0,166.61743,176.0,134.77623,200.0,122.37156,151.0,59.03398,65.0,217.49268,218.0,1940.7958,1706.0,236.45752,325.0,360.42584,385.0,2124.5073,1878.0
21.0,-1.2092093,22.0,30.955536,119.0,10.509322,9.0,32.442314,36.0,146.16983,173.0,216.2569,218.0,11.802519,13.0,121.66207,133.0,20.216793,73.0,39.95279,66.0,37.631035,150.0,92.80711,125.00001,42.46853,35.0,17.826916,35.0,36.74022,38.0,545.90485,560.0,58.260323,91.0,20.343016,74.0,227.8348,233.0
37.0,2420.395,3266.0,154.90044,180.0,19.651173,24.0,41.066177,31.0,1148.97,1355.0,2265.6482,2965.0,35.364956,31.0,1565.8915,1690.0001,71.48382,76.0,15.682683,38.0,92.66667,96.99999,158.02353,173.0,161.24736,167.0,50.644234,57.999996,126.363365,192.0,1332.3981,1439.0,107.00789,101.0,282.43173,353.0,1407.7363,1926.9999
11.0,-1.2092093,49.0,102.41348,232.0,9.651853,11.0,8.427744,8.0,22.94301,21.0,143.79929,140.0,12.433717,19.999998,4.8828826,14.0,48.03676,46.0,62.417976,60.999996,30.764765,38.0,66.1588,68.0,9.137053,32.0,38.79417,96.0,5.1918807,9.0,34.73954,26.000002,59.14112,59.0,78.30368,96.0,73.444534,76.0
39.0,3231.1567,3843.0,167.93277,168.0,11.048108,19.0,38.833546,75.0,1325.8518,1818.0001,2643.4043,3151.0,22.163143,25.0,1821.3391,2518.0,105.42941,156.0,15.682683,113.00001,128.59897,159.0,139.07367,137.0,127.41928,156.99998,52.615307,57.999996,178.33447,190.0,1740.6611,1979.0,161.73141,179.0,320.57593,370.0,1846.0347,2059.0
30.0,-1.2092093,88.0,214.59152,228.0,41.9426,70.99999,61.037735,77.0,666.76,659.0,1056.9943,1160.0,69.98381,62.999996,844.55164,758.0,145.82394,201.0,105.47812,117.0,127.9,158.0,181.35564,233.0,129.87843,282.0,32.856556,32.0,47.311638,56.0,794.4395,830.00006,99.777214,107.0,337.07397,484.0,664.22266,626.0
