月份/地点,白纸坊预测,白纸坊实际,大红门预测,大红门实际,德胜预测,德胜实际,东华门预测,东华门实际,东铁营预测,东铁营实际,广安门外预测,广安门外实际,建外预测,建外实际,酒仙桥预测,酒仙桥实际,六里屯预测,六里屯实际,卢沟桥乡预测,卢沟桥乡实际,马家堡预测,马家堡实际,南磨房预测,南磨房实际,西长安街预测,西长安街实际,右安门预测,右安门实际,月坛预测,月坛实际
47.0,8.831907,11.0,216.92073,280.0,15.323693,39.0,128.7182,118.0,62.439426,110.0,61.3346,70.0,197.18459,182.0,151.43001,148.0,23.037937,23.0,65.95076,73.0,34.23439,49.0,113.68399,103.0,4.901336,6.0,26.269575,28.999998,181.58784,185.0
32.0,9.107129,9.0,196.26457,188.0,261.0693,289.0,216.06108,209.0,52.882267,56.0,165.25323,172.0,181.87881,168.0,86.65704,100.0,121.22813,128.0,118.9489,125.0,19.360271,25.000002,219.73062,222.0,5.8417974,4.9999995,17.16464,17.0,332.8931,292.0
29.0,15.410976,16.0,200.90181,196.0,168.57135,343.0,151.32086,138.0,52.53725,51.0,76.7865,77.0,203.37709,234.0,82.50743,79.0,103.56603,94.0,76.95553,72.0,3.1597571,3.0,177.6157,180.0,12.129715,14.0,20.063635,21.0,157.99504,148.0
17.0,16.210033,22.0,276.57083,269.0,164.30255,164.0,190.71974,207.00002,61.55061,47.0,14.0131855,13.0,465.42117,518.0,196.12721,208.0,228.76897,301.0,50.242085,73.0,4.6429367,4.0,114.98675,121.0,0.9499499,1.0,36.288937,56.0,204.77336,225.0
13.0,14.01644,16.0,178.84337,245.0,106.86235,119.0,98.68493,101.0,35.23204,35.0,21.769619,20.0,75.29961,194.0,23.23462,158.0,2.5625625,219.99998,29.135698,30.0,2.745946,3.0,67.11718,63.000004,2.85532,13.0,39.41377,57.000004,131.84814,133.0
22.0,41.844837,51.0,128.42212,138.0,210.72244,193.00002,107.240585,119.0,3.8728728,4.0,114.15684,136.0,103.89616,79.0,167.18819,228.0,100.82278,86.0,73.14344,82.0,0.9509509,2.0,69.15715,69.0,27.359924,44.0,36.173225,37.0,197.09326,230.0
25.0,3.896897,4.0,84.16015,64.00001,46.517296,46.0,53.79755,175.0,36.58175,29.0,98.02754,108.0,160.86351,170.0,76.72608,64.0,88.809586,70.0,27.247984,25.0,0.9509509,1.0,51.017467,59.0,23.065678,25.0,17.385626,16.0,93.68643,95.0
26.0,8.573981,16.0,147.95506,193.0,36.977745,34.0,112.39696,208.0,59.564556,87.0,73.21379,67.0,206.59152,185.0,98.469635,278.0,112.40951,146.0,39.7872,68.0,0.9509509,6.0,98.82305,82.0,20.416956,18.0,17.434042,18.0,98.40187,96.0
40.0,8.592449,8.0,140.33456,146.0,158.96564,165.0,163.61829,150.0,33.809734,34.0,82.8465,75.0,243.8187,312.0,107.77224,109.0,121.44891,134.0,82.54063,76.0,34.099735,45.0,215.16309,232.99998,6.0644054,6.0,16.481167,15.0,328.23596,384.0
24.0,6.3878684,8.0,80.489365,119.0,111.79456,126.00001,42.724724,43.0,10.912848,48.0,124.85356,143.0,128.0005,342.0,115.660675,167.0,96.92473,135.0,41.191387,62.000004,0.9509509,11.0,32.53253,35.0,26.797005,28.0,25.215862,27.0,110.29252,107.00001
45.0,12.133823,17.0,194.4878,186.0,55.514103,86.0,136.43285,120.0,44.246296,33.0,58.37688,56.000004,165.51044,199.0,112.620026,94.0,28.573553,32.0,72.41857,67.0,32.12551,47.0,131.46745,135.0,4.3109593,4.0,29.369188,40.0,230.6931,267.0
12.0,18.084269,17.0,180.18747,186.0,115.09558,148.0,100.99819,118.0,38.65778,47.0,16.701406,22.0,5.4874873,17.0,18.391392,19.0,2.5625625,3.0,31.094395,30.0,2.0264103,2.0,77.07985,83.0,3.241966,3.0,49.09141,53.0,108.16321,136.0
27.0,14.917196,13.000001,192.95537,279.0,87.64776,105.0,154.17137,283.0,65.74037,70.0,68.71144,67.0,230.25153,220.0,113.37112,291.0,126.76951,136.0,59.39364,58.000004,1.1366768,2.0,148.70587,149.99998,17.817705,51.0,19.11861,19.0,124.34304,139.0
19.0,26.96348,62.000004,261.1561,291.0,143.8333,149.0,206.43306,249.0,48.610565,85.0,18.379189,17.0,331.9184,323.0,93.88333,108.0,123.00478,117.0,60.657265,61.000008,5.338241,9.0,86.11529,84.0,0.9499499,50.0,42.31238,39.0,214.44916,224.00002
39.0,8.677084,9.0,121.46129,115.0,130.49182,119.0,153.33125,155.0,30.11409,27.0,67.75711,74.0,228.52707,206.0,109.10181,111.0,115.77433,116.0,74.42994,98.0,31.336502,33.0,193.8485,215.99998,5.392317,4.9999995,17.705515,25.0,286.42453,301.0
11.0,21.755938,24.0,193.98738,200.0,130.01779,117.0,108.277855,106.0,48.527817,51.0,8.611248,8.0,5.4874873,6.0,18.391392,38.0,2.5625625,36.0,35.28946,37.0,2.7184536,3.0,106.630035,163.0,3.672453,4.0,57.4374,57.999996,84.52197,86.0
18.0,20.041767,17.0,269.44653,335.0,148.35307,164.0,201.0448,208.0,58.67849,73.0,16.068892,19.0,398.79758,413.0,128.71196,134.0,167.6029,192.0,55.35294,57.000004,5.6577277,10.0,94.08414,100.0,0.9499499,21.0,40.585182,49.0,207.3281,222.0
46.0,10.924599,10.0,214.75742,268.0,35.59848,48.0,136.06232,186.0,56.571125,81.0,61.23034,68.0,186.46388,255.0,136.12962,174.0,25.825092,38.0,70.62038,99.0,34.28738,50.000004,123.494736,126.00001,4.717713,13.0,29.344254,32.0,207.9796,216.0
48.0,6.147707,6.0,194.87093,187.0,13.658659,14.0,111.45227,114.0,60.321545,63.0,54.3235,52.0,177.997,174.0,146.73212,147.0,15.024288,14.0,54.56857,52.0,28.640799,32.0,91.81333,93.0,4.530719,4.0,21.637695,17.0,136.92783,130.0
41.0,8.612157,8.0,146.61247,141.0,155.8025,180.00002,158.35919,173.0,30.629353,52.0,86.59919,126.99999,211.112,239.0,99.75932,83.0,96.087975,119.00001,83.85127,97.0,32.946407,44.0,205.67397,212.0,5.8352976,8.0,15.475423,41.0,331.9096,405.0
15.0,7.614429,6.9999995,239.79782,237.0,137.3965,144.0,134.58354,141.0,53.79287,65.0,19.683714,21.0,396.91394,460.0,235.54958,300.0,201.03831,269.0,33.276295,33.0,4.86708,4.9999995,120.6444,159.99998,0.9499499,7.0,23.306128,23.0,176.94763,173.00002
20.0,41.73371,42.0,221.61172,234.0,168.01042,168.0,195.19492,179.0,22.044918,108.0,40.1285,42.0,240.39592,420.0,102.130775,88.0,97.69934,100.0,69.72334,90.0,0.9509509,11.0,92.20235,90.0,8.355382,40.0,40.659172,54.0,226.99956,239.0
38.0,8.029329,8.0,71.08221,63.000004,60.189877,56.0,125.42043,171.0,16.9119,16.0,40.322033,37.0,135.78076,141.0,109.18933,123.0,74.80331,82.0,54.953026,52.0,20.183878,20.0,127.514915,121.0,3.7888365,4.0,17.547905,18.0,179.70598,139.0
44.0,11.897727,11.0,174.41289,165.0,67.24794,52.0,135.98145,174.0,36.333492,42.0,55.658543,35.0,151.99014,138.0,101.599106,107.0,30.743084,26.0,71.77509,73.0,30.217031,32.0,137.867,142.0,4.0419893,4.0,27.07203,48.0,242.07254,245.0
37.0,13.972236,15.0,148.13121,167.0,102.25372,109.99999,173.78973,153.0,38.177788,50.0,74.83078,80.0,249.93803,278.0,186.03415,178.0,153.53973,187.0,73.13222,134.0,18.34778,29.000002,147.24326,173.99998,4.017446,4.0,16.508818,15.0,235.93921,280.0
35.0,16.430721,22.999998,198.7108,261.0,158.98018,186.0,244.78857,318.0,61.082,51.0,149.88219,173.0,279.1714,300.0,150.01512,171.0,155.156,155.0,100.32372,110.0,15.618307,14.0,139.38966,128.0,9.572117,14.0,19.624222,21.0,316.22366,332.0
42.0,9.747286,13.000001,153.08597,165.0,132.44145,106.99999,150.78262,149.0,27.387604,24.0,80.73917,85.0,179.24481,153.0,100.42448,115.0,65.16501,59.0,82.64501,76.0,32.214428,14.0,186.18834,170.0,5.017319,4.9999995,16.651075,15.0,316.52728,312.0
33.0,11.50509,26.000002,183.5256,234.0,211.32108,230.0,235.59178,262.0,56.239056,58.0,168.96663,185.0,158.25827,221.0,36.42662,31.0,90.59186,89.0,113.04666,134.0,15.6068325,13.0,162.5692,161.0,7.859272,17.0,23.196283,33.0,315.1509,339.99997
