月份/地点,白纸坊预测,白纸坊实际,朝外预测,朝外实际,朝阳门预测,朝阳门实际,大红门预测,大红门实际,德胜预测,德胜实际,东华门预测,东华门实际,东铁营预测,东铁营实际,广安门外预测,广安门外实际,建外预测,建外实际,劲松预测,劲松实际,酒仙桥预测,酒仙桥实际,六里屯预测,六里屯实际,卢沟桥乡预测,卢沟桥乡实际,马家堡预测,马家堡实际,南磨房预测,南磨房实际,前门预测,前门实际,曙光预测,曙光实际,王佐镇预测,王佐镇实际,西罗园预测,西罗园实际,西长安街预测,西长安街实际,香河园预测,香河园实际,亚运村预测,亚运村实际,右安门预测,右安门实际,月坛预测,月坛实际
34.0,54.561733,105.0,194.57489,346.0,62.506607,60.0,399.3545,583.0,49.637638,63.0,867.3156,832.0,91.19171,86.0,33.905907,75.0,156.2131,270.0,969.45447,1361.0,429.38348,709.0,243.1751,264.0,312.83926,281.0,195.03975,184.00002,334.31952,316.0,100.600105,109.0,98.25292,79.0,324.86942,248.0,79.8604,72.0,7.6876874,12.0,359.36877,466.0,182.54094,281.0,129.4407,94.99999,201.98482,224.0
40.0,44.385616,49.0,562.8268,642.0,90.56262,92.0,888.32947,862.0,95.91833,85.0,859.2413,981.0,195.41792,278.0,33.905907,35.0,420.9968,367.0,654.15686,589.0,454.3941,446.99997,273.75342,293.0,1046.8562,895.0,245.32654,233.0,390.2259,429.0,159.27008,180.0,388.42447,273.0,507.9656,464.0,54.983593,48.0,65.071815,56.0,359.13556,337.0,219.79366,262.0,274.71606,244.0,134.25906,140.0
47.0,229.26645,340.0,562.9724,557.0,72.68944,87.0,2422.4604,2537.0,192.09462,161.0,482.41412,587.0,107.16915,77.0,108.734764,119.0,364.16812,350.0,754.64124,931.0,684.3928,702.99994,310.59647,317.0,1612.2368,1370.9999,378.9469,332.0,299.96967,491.00003,120.79675,154.0,704.759,928.0,1411.1752,1104.0,39.363987,39.999996,105.6508,93.0,306.72162,366.0,451.3027,556.0,683.07306,531.0,562.2485,613.0
18.0,1.3593594,17.0,204.0184,150.0,23.87026,21.0,2638.9868,2518.0,1055.1167,1009.0,585.54504,519.0,282.4716,284.0,529.50806,478.0,703.1123,619.0,694.52625,826.0,949.5357,900.0,584.2463,796.0,1745.3448,1475.9999,444.9678,521.0,458.6226,440.0,52.90429,59.0,2.92993,14.0,992.39594,1089.0,325.96094,332.0,1076.5298,939.0,409.65027,379.0,6.3993993,7.0,328.15555,328.0,1738.036,1603.0
12.0,1.3593594,5.0,410.92075,1074.0,46.098953,50.0,2311.882,2110.0,1211.2014,1218.0,528.28986,499.0,324.20148,385.0,621.9889,613.0,731.0979,710.0,453.90793,618.0,544.3021,577.0,365.3928,408.0,2965.6914,2588.0002,286.67816,267.0,241.6971,257.0,36.38419,31.0,2.92993,33.0,511.5449,408.0,518.3813,605.0,779.13544,734.0,173.4475,202.00002,238.69951,266.0,137.15335,162.0,1553.2184,1557.0
20.0,36.54356,37.0,95.383446,109.0,9.516359,44.0,2246.873,2130.0,1018.9643,947.0,446.21408,413.0,77.56946,78.0,552.52924,548.0,386.2229,438.0,732.16815,629.0,861.1826,731.0,348.32397,452.99997,1347.7727,1271.0,280.09702,264.0,392.04242,489.99997,53.652763,39.0,28.86553,55.0,1292.491,1068.0,279.1745,287.0,939.57935,964.0,287.45453,489.00003,6.3993993,173.0,312.94095,272.0,1618.0281,1506.0
32.0,20.018862,17.0,97.02317,89.000015,41.162674,51.0,127.96363,119.0,92.95398,84.0,669.66,1080.0,101.15247,107.0,33.905907,37.0,122.32964,124.00001,886.61383,883.0,363.49872,352.0,180.7664,171.0,187.91391,212.00002,131.10904,171.99998,265.47565,345.0,48.552868,114.0,56.023354,56.0,173.63628,144.0,33.29367,35.0,7.6876874,24.0,282.71677,262.0,155.94315,202.0,113.676384,147.0,363.9111,385.0
29.0,33.182854,39.0,243.3761,314.0,39.7337,37.0,73.13409,77.0,383.2325,397.0,438.75763,852.99994,44.692764,49.999996,330.12772,437.0,300.15976,328.0,942.08386,1428.0,347.2033,389.0,200.58829,198.0,91.93393,97.0,7.77978,9.0,231.8766,249.0,22.50035,22.0,24.712164,19.0,15.063064,45.0,0.39539537,1.0,67.26467,66.0,307.24597,365.0,136.30821,153.0,11.990991,16.0,1077.0919,1347.0
14.0,1.3593594,12.0,353.7703,388.0,48.55919,45.0,2253.0696,2328.0,1154.6292,1231.0,561.2855,605.0,210.55832,179.0,572.5225,643.0,791.11383,948.0,453.90793,572.0,639.78937,652.0,440.165,420.0,2549.4539,2597.9998,319.57233,334.99997,312.41318,453.0,33.248898,60.0,2.92993,26.0,393.404,610.0,435.58636,440.0,894.84924,1320.0,234.59236,310.0,116.366165,607.00006,109.69352,102.0,1662.1605,1727.0
30.0,24.652428,27.999998,178.00262,262.0,38.58771,52.0,112.16997,180.0,289.90756,290.0,503.48593,858.00006,75.76409,167.0,216.34015,254.0,236.71059,249.00002,898.0274,1179.0,346.1862,340.0,186.10603,211.0,91.93393,287.0,11.404578,192.0,234.14539,225.0,22.801762,20.0,33.290695,43.0,39.930607,76.0,0.39539537,24.0,57.41216,54.999996,283.00418,318.0,142.08575,219.0,27.478266,261.0,852.43134,1055.9999
24.0,19.043695,17.0,40.64983,306.0,8.796797,9.0,582.0459,517.0,1069.4575,1032.0,106.83484,108.00001,7.3793797,94.0,797.93256,906.0,62.55542,207.0,795.19354,868.0,801.2124,1460.0,67.208206,495.0,771.26855,801.0,152.52818,134.0,203.59862,206.0,10.712713,11.0,34.962753,38.0,605.0005,364.0,176.13356,171.0,381.5164,420.0,198.0114,388.0,90.25768,329.0,216.2759,166.0,1807.6416,1757.0001
39.0,51.74177,41.0,508.91113,540.0,97.00981,116.0,455.4735,530.0,49.637638,58.000004,911.80023,1217.0,24.867853,32.0,33.905907,41.0,352.62946,454.0,727.7025,774.0,429.84042,417.00003,245.62395,243.0,586.9207,583.0,124.984344,124.0,398.65836,605.0,160.73483,297.99997,311.49576,405.0,326.30768,310.0,69.57064,70.0,9.493858,25.0,369.34048,337.0,212.35706,214.0,152.4136,142.0,73.77278,103.0
35.0,70.718376,172.0,273.84738,275.0,77.51977,118.999985,498.0853,1153.0,49.637638,102.0,987.0348,807.0,87.614716,397.0,33.905907,100.0,200.20949,176.99998,1023.69916,1189.0,454.20612,448.0,279.76782,301.0,393.26486,1197.0,209.71559,260.0,369.89224,359.0,128.11992,115.0,135.62102,142.0,391.5137,590.00006,105.72034,143.0,7.6876874,19.0,405.3483,472.0,206.50542,129.0,136.6972,134.0,153.20534,152.0
27.0,42.026375,41.0,334.67032,389.0,34.699608,34.0,298.0775,589.0,954.22363,1153.0,340.84995,1139.0,17.425837,99.0,785.9514,855.0,384.49133,372.0,1108.3932,1080.0,584.7965,812.0,235.19429,226.99998,411.81616,643.0,51.064102,113.99999,232.55547,274.0,23.849476,45.0,58.7404,61.000004,370.86307,739.0,91.6141,295.0,214.20273,249.0,363.24637,380.0,184.59267,210.0,101.47583,258.0,1972.0079,1978.0
