月份/地点,德胜预测,德胜实际
24.0,470.56342,1032.0
12.0,408.17572,1218.0
38.0,49.637638,51.0
39.0,55.167164,58.000004
22.0,380.8615,1226.0
31.0,176.85138,187.0
33.0,49.637638,60.0
35.0,49.637638,102.0
18.0,459.1238,1009.0
42.0,97.22917,318.0
28.0,543.88153,674.0
48.0,155.92747,240.0
14.0,529.4972,1231.0
15.0,566.2009,1066.0
25.0,489.35474,1412.0001
46.0,166.25526,270.0
17.0,534.2649,1018.0
37.0,49.637638,89.0
32.0,62.321877,84.0
21.0,377.12152,1057.0
43.0,125.01215,252.0
26.0,530.82416,1227.0
40.0,66.24007,85.0
20.0,399.07977,947.0
27.0,546.1832,1153.0
44.0,145.78714,252.0
23.0,419.2559,1223.0
36.0,49.637638,107.0
13.0,467.06247,1286.0
11.0,360.64993,1148.0
47.0,169.20778,161.0
30.0,330.61548,290.0
16.0,569.2799,923.00006
29.0,463.43744,397.0
41.0,75.92386,258.0
19.0,422.36835,1104.0
45.0,159.29855,244.0
34.0,49.637638,63.0
