月份/地点,朝阳门预测,朝阳门实际,大红门预测,大红门实际,德胜预测,德胜实际,东华门预测,东华门实际,东直门预测,东直门实际,广安门外预测,广安门外实际,海淀预测,海淀实际,建外预测,建外实际,酒仙桥预测,酒仙桥实际,六里屯预测,六里屯实际,卢沟桥乡预测,卢沟桥乡实际,马家堡预测,马家堡实际,南磨房预测,南磨房实际,曙光预测,曙光实际,王佐镇预测,王佐镇实际,香河园预测,香河园实际,亚运村预测,亚运村实际,右安门预测,右安门实际
14.0,55.861523,37.0,618.8968,564.0,329.5847,319.0,10.63642,9.0,19.541666,20.0,322.6606,205.0,0.87787783,1.0,106.76747,123.0,234.94315,257.0,27.378817,440.0,3013.269,2786.0,182.47418,188.00002,293.27728,321.0,0.8368368,1.0,14.702798,13.999999,81.27725,275.0,63.054497,246.99998,212.44347,258.0
31.0,2.75976,3.0,60.347134,74.0,70.63954,78.00001,4.7013063,5.0,1.7137136,22.0,8.167167,16.0,16.149788,18.0,77.08689,80.00001,136.63042,149.0,43.088528,40.999996,6.2572575,151.0,48.20041,55.0,268.75485,363.0,13.156914,11.0,21.943583,23.0,32.24472,51.000004,131.48624,285.00003,60.99778,66.0
29.0,3.4508626,6.0,12.368085,26.000002,174.9248,174.0,7.5693736,7.0000005,3.9414852,10.0,131.92276,176.0,12.59894,13.0,80.67857,118.0,116.90605,402.0,22.758156,63.0,6.2572575,21.0,-0.17817825,1.0,215.94766,534.0,10.687504,11.0,22.846035,21.999998,2.2652652,3.0,112.777695,139.0,11.821831,15.0
28.0,7.736715,13.999999,5.1283045,34.0,281.42014,384.0,13.041587,68.0,9.196799,50.0,233.01581,259.0,13.272948,14.0,66.59523,78.0,79.353035,260.0,21.381615,19.0,6.2572575,123.99999,1.7475697,16.0,161.34444,392.0,10.290775,14.000001,34.346127,43.0,2.2652652,6.9999995,100.82396,75.0,52.22493,53.0
39.0,2.75976,20.0,99.46301,225.0,19.83124,33.0,27.936659,34.0,46.516132,188.99998,8.167167,9.0,20.261055,121.0,25.834534,88.0,46.3573,99.0,37.136345,101.00001,274.4567,324.0,75.37212,59.0,262.54773,407.99997,32.05508,40.0,8.954023,16.0,24.570368,24.0,80.67442,98.0,27.45328,24.0
38.0,2.75976,4.0,83.64507,84.0,10.06006,11.0,24.260942,20.000002,33.255848,72.0,8.167167,9.0,19.076378,114.0,32.129585,32.0,47.985176,29.0,38.475426,36.0,160.8853,164.0,98.79242,100.0,281.2152,245.0,32.344803,22.0,2.8536098,3.0,24.104229,24.0,107.7646,132.0,27.662973,28.0
48.0,11.434755,10.999999,275.64197,231.0,682.3815,741.0,53.0555,71.0,247.95839,261.0,70.21282,78.0,104.17819,86.0,125.0964,124.0,3.6016016,12.0,100.73396,140.0,2649.542,2884.0,1048.5745,1072.0,227.01747,211.0,50.41842,164.0,23.582521,26.0,114.516594,113.99999,45.661865,42.0,128.18483,104.0
25.0,5.7273235,7.0,62.842777,56.0,591.6421,517.0,12.673878,15.000002,1.7137136,7.0,496.36035,422.0,21.851664,21.0,34.712166,40.000004,33.81254,31.0,97.44252,118.0,647.63556,634.0,89.83905,100.0,85.34434,99.0,18.15374,18.0,71.12228,60.0,23.863523,20.0,72.18328,159.0,309.72903,579.0
24.0,4.591772,5.0,285.47763,379.0,614.9386,676.0,1.8533717,3.0,1.7137136,2.0,533.5541,841.00006,20.91614,47.0,21.413395,73.00001,46.25742,142.0,98.88944,218.0,682.9824,645.0,79.61178,53.0,85.34434,86.0,22.348118,27.0,70.31872,106.0,39.433468,55.000004,40.89407,207.00002,366.06848,728.0
34.0,2.75976,10.0,87.6809,87.0,47.914455,39.0,4.334562,4.0,1.7137136,2.0,8.167167,22.0,11.223236,11.0,54.655342,55.000004,89.725105,219.99998,51.429016,118.0,111.438896,135.0,87.28347,75.0,227.54404,206.0,14.277057,19.0,22.54063,24.999998,41.112484,44.0,91.0629,171.0,81.28275,84.0
21.0,14.718008,14.999999,1027.325,988.00006,638.38696,802.0,0.8068068,4.0,3.0735006,6.0,598.11005,660.0,11.448823,10.0,16.705706,189.0,96.78769,234.00002,97.61952,345.0,2641.1333,2383.0,283.94742,264.0,180.56923,328.0,23.620937,43.0,72.47563,67.0,63.679073,61.0,3.6516516,42.0,486.97452,511.0
13.0,61.221386,66.0,578.1946,614.0,388.10522,456.0,17.922508,60.0,23.270964,24.0,395.6671,540.0,0.87787783,1.0,83.965324,78.0,225.80312,277.0,8.341341,441.0,3562.3923,4218.0,262.04507,267.0,267.92892,247.0,0.8368368,11.999999,26.892254,31.0,39.610847,161.0,102.708755,122.0,290.362,271.0
11.0,57.32239,66.0,531.8915,465.0,461.32867,337.0,30.062084,71.0,28.720997,24.0,501.89618,472.00003,0.87787783,4.0,24.82472,25.0,157.33176,186.0,8.341341,28.0,4453.7803,6036.0,424.0761,407.0,223.16394,215.99998,7.1606245,7.0000005,54.529186,54.0,10.865884,16.0,105.679054,124.00001,460.05414,515.0
47.0,6.7136116,18.0,302.1021,320.0,599.43994,754.0,49.055283,45.0,234.64105,286.0,49.438168,125.0,99.05392,122.99999,112.441284,111.0,3.6016016,4.0,79.35065,70.0,2770.9583,2083.0,993.63104,1120.0,223.48755,359.0,43.97861,132.0,23.58344,21.0,93.21604,197.99998,39.62447,45.0,159.47989,213.0
27.0,9.899293,13.0,30.073725,250.99998,422.13412,555.0,17.454687,20.000002,8.928984,32.0,353.57693,413.0,15.796012,14.0,45.94,35.0,42.223305,51.0,50.353703,55.0,630.41705,721.0,79.59349,215.0,103.019196,104.0,10.538118,8.0,52.22467,172.0,2.2652652,4.0,84.10705,95.0,173.42436,557.0
16.0,56.05644,61.0,1239.3259,1215.0,516.539,490.00003,62.356228,61.0,48.53342,37.0,503.65152,626.0,0.87787783,17.0,160.624,168.0,206.54424,206.0,324.7141,461.0,5000.0967,4863.0,456.80807,433.99997,443.56955,481.0,0.8368368,1.0,85.436165,68.0,344.27005,722.0,3.6516516,9.0,383.7472,342.0
18.0,38.85363,35.0,1623.9734,1441.0,649.873,691.0,75.54544,80.0,66.16043,69.0,634.2438,662.0,4.775701,23.0,122.75111,152.0,115.853485,113.0,420.86737,667.0,6023.786,5980.0,666.56,701.0,435.1046,385.0,0.8368368,2.0,134.3306,345.0,383.0189,622.0,3.6516516,4.0,550.1686,588.0
37.0,2.75976,12.0,111.2855,213.0,20.245512,28.0,18.514326,76.0,21.411877,176.0,8.167167,15.0,17.07202,90.0,43.800133,39.0,72.81449,92.0,46.34023,90.0,387.84735,421.0,139.7422,239.0,291.38928,574.0,27.938643,29.0,11.386515,36.0,32.67426,31.0,114.830734,149.0,66.9048,65.0
44.0,2.75976,3.0,268.33997,280.0,346.14023,270.0,44.00734,48.0,180.33983,288.0,29.355894,32.0,74.50252,79.0,69.289604,78.0,20.560266,19.0,31.01497,28.0,2634.5837,4178.0,666.0941,768.0,241.76762,293.0,33.956093,35.0,27.193962,20.0,41.3757,42.0,30.29648,25.999998,194.20312,182.0
23.0,8.274805,10.0,568.2767,1196.0,654.05176,950.0,0.8068068,15.000002,1.7137136,19.0,589.45184,804.0,18.829756,46.0,16.705706,311.0,64.86775,204.0,91.27599,538.0,1297.3507,1685.0,143.74162,348.00003,88.13444,180.00002,25.357525,30.0,71.01258,90.0,47.522224,253.99998,11.563838,171.0,439.60733,687.0
22.0,11.247146,12.0,825.9575,915.0,638.05664,843.0,0.8068068,1.0,1.7137136,25.0,591.7196,815.0,14.652302,16.0,16.705706,17.0,82.77042,77.0,77.58401,57.0,1913.0958,2125.0,208.72702,329.0,128.37914,229.0,24.57709,18.0,66.7512,63.0,52.35323,59.000004,3.6516516,4.0,470.0008,409.0
12.0,60.50912,72.0,551.0536,683.0,428.08945,599.0,25.100779,128.0,25.959923,29.0,454.00595,591.0,0.87787783,1.0,50.84487,58.000004,190.00677,147.0,8.341341,12.0,4126.013,4453.0,351.96106,416.0,240.6486,242.0,0.8368368,14.000001,42.15294,47.0,14.636163,17.0,111.8148,124.00001,379.7499,457.99997
40.0,2.75976,6.0,146.20331,147.0,91.88512,85.00001,33.12213,29.0,73.51785,132.0,21.257174,23.0,26.292374,22.0,22.62417,22.0,47.721596,53.0,36.51563,76.0,766.7758,671.0,125.31087,141.0,243.98923,356.0,32.266846,44.0,19.275562,45.0,26.591686,25.0,46.27449,41.0,76.18065,90.0
42.0,2.75976,26.0,227.68498,231.0,250.18025,280.0,40.756542,43.0,139.60255,140.0,35.18075,46.0,55.249767,97.0,47.422405,47.0,36.67264,35.0,33.383106,34.999996,1975.3613,3306.0,448.30167,395.0,242.05536,209.0,34.278976,31.0,26.620058,64.0,36.365887,103.00001,33.226086,75.0,166.94043,184.0
15.0,55.951534,83.0,831.46027,881.0,393.83255,668.0,29.98186,132.0,27.762852,92.0,379.41263,501.99997,0.87787783,1.0,136.61852,241.00002,235.49359,371.0,147.25145,523.0,3509.151,3841.0,251.61674,252.00002,353.9639,364.0,0.8368368,1.0,37.61212,39.0,193.11786,737.0,20.711332,21.0,259.89517,263.0
36.0,3.3682547,5.0,112.335655,110.0,35.753654,44.0,13.272726,30.999998,11.949604,38.0,8.167167,9.0,14.666342,15.0,49.131947,53.0,83.814476,83.0,48.36226,43.999996,381.72916,536.0,134.82861,230.0,275.42392,423.0,23.136684,26.0,16.698353,16.0,35.193768,26.0,109.12853,85.0,79.678665,77.0
26.0,8.0143385,6.0,28.213179,132.0,522.739,494.00003,17.499311,49.0,3.1886709,42.0,434.80872,410.0,19.248106,24.0,41.00608,48.0,34.955986,34.0,75.486404,91.0,729.35333,885.0,96.42572,206.0,85.34434,134.0,14.11162,16.0,64.26668,66.0,8.34803,26.0,83.8917,170.0,248.06232,616.0
17.0,48.303246,76.0,1478.0804,1691.0,591.7084,610.0,75.48886,169.0,62.31674,118.0,582.53357,604.0,0.87787783,31.000002,145.03549,89.99999,148.74875,156.0,403.5394,585.0,5808.169,6166.0,600.5028,577.0,450.90057,525.0,0.8368368,5.0,118.57337,282.0,388.3397,585.0,3.6516516,5.9999995,487.7125,757.99994
19.0,29.534712,30.999998,1566.1742,1769.0,659.87195,649.0,55.41187,47.0,54.046696,147.0,632.55414,560.0,8.262487,7.0,86.18527,182.0,107.519806,112.0,347.6351,445.0,5381.866,6520.0,609.9829,766.0,384.57193,356.0,3.3234346,32.0,124.40848,187.0,302.3303,278.0,3.6516516,21.0,548.7562,518.0
