事发街道,事发区县,月份,立案量,年份,均值,方差,数据量,出线,日期
朝阳门,东城区,-01-,165,2015,50.22916667,61.41911809,48,0,Jan-15
朝阳门,东城区,-02-,111,2015,50.22916667,61.41911809,48,0,Feb-15
朝阳门,东城区,-03-,204,2015,50.22916667,61.41911809,48,2,Mar-15
朝阳门,东城区,-04-,204,2015,50.22916667,61.41911809,48,2,Apr-15
朝阳门,东城区,-05-,118,2015,50.22916667,61.41911809,48,0,May-15
朝阳门,东城区,-06-,243,2015,50.22916667,61.41911809,48,3,Jun-15
朝阳门,东城区,-07-,193,2015,50.22916667,61.41911809,48,2,Jul-15
朝阳门,东城区,-08-,46,2015,50.22916667,61.41911809,48,0,Aug-15
朝阳门,东城区,-09-,79,2015,50.22916667,61.41911809,48,0,Sep-15
朝阳门,东城区,-10-,124,2015,50.22916667,61.41911809,48,0,Oct-15
朝阳门,东城区,-11-,66,2015,50.22916667,61.41911809,48,0,Nov-15
朝阳门,东城区,-12-,72,2015,50.22916667,61.41911809,48,0,Dec-15
朝阳门,东城区,-01-,66,2016,50.22916667,61.41911809,48,0,Jan-16
朝阳门,东城区,-02-,37,2016,50.22916667,61.41911809,48,0,Feb-16
朝阳门,东城区,-03-,83,2016,50.22916667,61.41911809,48,0,Mar-16
朝阳门,东城区,-04-,61,2016,50.22916667,61.41911809,48,0,Apr-16
朝阳门,东城区,-05-,76,2016,50.22916667,61.41911809,48,0,May-16
朝阳门,东城区,-06-,35,2016,50.22916667,61.41911809,48,0,Jun-16
朝阳门,东城区,-07-,31,2016,50.22916667,61.41911809,48,0,Jul-16
朝阳门,东城区,-08-,37,2016,50.22916667,61.41911809,48,0,Aug-16
朝阳门,东城区,-09-,15,2016,50.22916667,61.41911809,48,0,Sep-16
朝阳门,东城区,-10-,12,2016,50.22916667,61.41911809,48,0,Oct-16
朝阳门,东城区,-11-,10,2016,50.22916667,61.41911809,48,0,Nov-16
朝阳门,东城区,-12-,5,2016,50.22916667,61.41911809,48,0,Dec-16
朝阳门,东城区,-01-,7,2017,50.22916667,61.41911809,48,0,Jan-17
朝阳门,东城区,-02-,6,2017,50.22916667,61.41911809,48,0,Feb-17
朝阳门,东城区,-03-,13,2017,50.22916667,61.41911809,48,0,Mar-17
朝阳门,东城区,-04-,14,2017,50.22916667,61.41911809,48,0,Apr-17
朝阳门,东城区,-05-,6,2017,50.22916667,61.41911809,48,0,May-17
朝阳门,东城区,-06-,14,2017,50.22916667,61.41911809,48,0,Jun-17
朝阳门,东城区,-07-,3,2017,50.22916667,61.41911809,48,0,Jul-17
朝阳门,东城区,-08-,5,2017,50.22916667,61.41911809,48,0,Aug-17
朝阳门,东城区,-09-,12,2017,50.22916667,61.41911809,48,0,Sep-17
朝阳门,东城区,-10-,10,2017,50.22916667,61.41911809,48,0,Oct-17
朝阳门,东城区,-11-,20,2017,50.22916667,61.41911809,48,0,Nov-17
朝阳门,东城区,-12-,5,2017,50.22916667,61.41911809,48,0,Dec-17
朝阳门,东城区,-01-,12,2018,50.22916667,61.41911809,48,0,Jan-18
