事发街道,事发区县,月份,立案量,年份,均值,方差,数据量,出线,日期
朝阳门,东城区,-01-,50,2015,103.8125,51.78008171,48,0,Jan-15
朝阳门,东城区,-02-,50,2015,103.8125,51.78008171,48,0,Feb-15
朝阳门,东城区,-03-,89,2015,103.8125,51.78008171,48,0,Mar-15
朝阳门,东城区,-04-,110,2015,103.8125,51.78008171,48,0,Apr-15
朝阳门,东城区,-05-,146,2015,103.8125,51.78008171,48,0,May-15
朝阳门,东城区,-06-,126,2015,103.8125,51.78008171,48,0,Jun-15
朝阳门,东城区,-07-,123,2015,103.8125,51.78008171,48,0,Jul-15
朝阳门,东城区,-08-,127,2015,103.8125,51.78008171,48,0,Aug-15
朝阳门,东城区,-09-,96,2015,103.8125,51.78008171,48,0,Sep-15
朝阳门,东城区,-10-,79,2015,103.8125,51.78008171,48,0,Oct-15
朝阳门,东城区,-11-,74,2015,103.8125,51.78008171,48,0,Nov-15
朝阳门,东城区,-12-,101,2015,103.8125,51.78008171,48,0,Dec-15
朝阳门,东城区,-01-,43,2016,103.8125,51.78008171,48,0,Jan-16
朝阳门,东城区,-02-,38,2016,103.8125,51.78008171,48,0,Feb-16
朝阳门,东城区,-03-,103,2016,103.8125,51.78008171,48,0,Mar-16
朝阳门,东城区,-04-,87,2016,103.8125,51.78008171,48,0,Apr-16
朝阳门,东城区,-05-,95,2016,103.8125,51.78008171,48,0,May-16
朝阳门,东城区,-06-,93,2016,103.8125,51.78008171,48,0,Jun-16
朝阳门,东城区,-07-,112,2016,103.8125,51.78008171,48,0,Jul-16
朝阳门,东城区,-08-,81,2016,103.8125,51.78008171,48,0,Aug-16
朝阳门,东城区,-09-,122,2016,103.8125,51.78008171,48,0,Sep-16
朝阳门,东城区,-10-,89,2016,103.8125,51.78008171,48,0,Oct-16
朝阳门,东城区,-11-,75,2016,103.8125,51.78008171,48,0,Nov-16
朝阳门,东城区,-12-,9,2016,103.8125,51.78008171,48,0,Dec-16
朝阳门,东城区,-01-,37,2017,103.8125,51.78008171,48,0,Jan-17
朝阳门,东城区,-02-,31,2017,103.8125,51.78008171,48,0,Feb-17
朝阳门,东城区,-03-,94,2017,103.8125,51.78008171,48,0,Mar-17
朝阳门,东城区,-04-,157,2017,103.8125,51.78008171,48,0,Apr-17
朝阳门,东城区,-05-,190,2017,103.8125,51.78008171,48,0,May-17
朝阳门,东城区,-06-,184,2017,103.8125,51.78008171,48,0,Jun-17
朝阳门,东城区,-07-,170,2017,103.8125,51.78008171,48,0,Jul-17
朝阳门,东城区,-08-,154,2017,103.8125,51.78008171,48,0,Aug-17
朝阳门,东城区,-09-,131,2017,103.8125,51.78008171,48,0,Sep-17
朝阳门,东城区,-10-,152,2017,103.8125,51.78008171,48,0,Oct-17
朝阳门,东城区,-11-,300,2017,103.8125,51.78008171,48,3,Nov-17
朝阳门,东城区,-12-,204,2017,103.8125,51.78008171,48,0,Dec-17
朝阳门,东城区,-01-,108,2018,103.8125,51.78008171,48,0,Jan-18
朝阳门,东城区,-02-,97,2018,103.8125,51.78008171,48,0,Feb-18
朝阳门,东城区,-03-,101,2018,103.8125,51.78008171,48,0,Mar-18
朝阳门,东城区,-04-,105,2018,103.8125,51.78008171,48,0,Apr-18
朝阳门,东城区,-05-,139,2018,103.8125,51.78008171,48,0,May-18
朝阳门,东城区,-06-,60,2018,103.8125,51.78008171,48,0,Jun-18
朝阳门,东城区,-07-,71,2018,103.8125,51.78008171,48,0,Jul-18
朝阳门,东城区,-08-,94,2018,103.8125,51.78008171,48,0,Aug-18
朝阳门,东城区,-09-,99,2018,103.8125,51.78008171,48,0,Sep-18
朝阳门,东城区,-10-,82,2018,103.8125,51.78008171,48,0,Oct-18
朝阳门,东城区,-11-,69,2018,103.8125,51.78008171,48,0,Nov-18
朝阳门,东城区,-12-,36,2018,103.8125,51.78008171,48,0,Dec-18
大红门,丰台区,-01-,7,2015,55.5625,47.09379787,48,0,Jan-15
大红门,丰台区,-02-,6,2015,55.5625,47.09379787,48,0,Feb-15
大红门,丰台区,-03-,10,2015,55.5625,47.09379787,48,0,Mar-15
大红门,丰台区,-04-,19,2015,55.5625,47.09379787,48,0,Apr-15
大红门,丰台区,-05-,10,2015,55.5625,47.09379787,48,0,May-15
大红门,丰台区,-06-,7,2015,55.5625,47.09379787,48,0,Jun-15
大红门,丰台区,-07-,15,2015,55.5625,47.09379787,48,0,Jul-15
大红门,丰台区,-08-,17,2015,55.5625,47.09379787,48,0,Aug-15
大红门,丰台区,-09-,21,2015,55.5625,47.09379787,48,0,Sep-15
大红门,丰台区,-10-,7,2015,55.5625,47.09379787,48,0,Oct-15
大红门,丰台区,-11-,15,2015,55.5625,47.09379787,48,0,Nov-15
大红门,丰台区,-12-,26,2015,55.5625,47.09379787,48,0,Dec-15
大红门,丰台区,-01-,9,2016,55.5625,47.09379787,48,0,Jan-16
大红门,丰台区,-02-,6,2016,55.5625,47.09379787,48,0,Feb-16
大红门,丰台区,-03-,11,2016,55.5625,47.09379787,48,0,Mar-16
大红门,丰台区,-04-,12,2016,55.5625,47.09379787,48,0,Apr-16
大红门,丰台区,-05-,15,2016,55.5625,47.09379787,48,0,May-16
大红门,丰台区,-06-,28,2016,55.5625,47.09379787,48,0,Jun-16
大红门,丰台区,-07-,21,2016,55.5625,47.09379787,48,0,Jul-16
大红门,丰台区,-08-,18,2016,55.5625,47.09379787,48,0,Aug-16
大红门,丰台区,-09-,19,2016,55.5625,47.09379787,48,0,Sep-16
大红门,丰台区,-10-,13,2016,55.5625,47.09379787,48,0,Oct-16
大红门,丰台区,-11-,40,2016,55.5625,47.09379787,48,0,Nov-16
大红门,丰台区,-12-,172,2016,55.5625,47.09379787,48,2,Dec-16
大红门,丰台区,-01-,44,2017,55.5625,47.09379787,48,0,Jan-17
大红门,丰台区,-02-,57,2017,55.5625,47.09379787,48,0,Feb-17
大红门,丰台区,-03-,82,2017,55.5625,47.09379787,48,0,Mar-17
大红门,丰台区,-04-,57,2017,55.5625,47.09379787,48,0,Apr-17
大红门,丰台区,-05-,104,2017,55.5625,47.09379787,48,0,May-17
大红门,丰台区,-06-,103,2017,55.5625,47.09379787,48,0,Jun-17
大红门,丰台区,-07-,100,2017,55.5625,47.09379787,48,0,Jul-17
大红门,丰台区,-08-,71,2017,55.5625,47.09379787,48,0,Aug-17
大红门,丰台区,-09-,94,2017,55.5625,47.09379787,48,0,Sep-17
大红门,丰台区,-10-,199,2017,55.5625,47.09379787,48,3,Oct-17
