白纸坊,朝外,朝阳门,大红门,大栅栏,德胜,东华门,广安门外,建外,劲松,酒仙桥,六里屯,卢沟桥乡,南磨房,曙光,西长安街,香河园,亚运村,月坛
69,76,9,4,6,165,46,30,39,105,39,38,19,63,64,15,64,112,202
91,198,7,7,10,138,47,26,28,106,100,49,18,114,61,6,85,158,148
101,252,25,15,15,198,73,29,42,191,115,61,31,94,109,17,121,219,206
62,223,14,10,6,165,35,19,84,71,67,97,36,244,115,18,86,203,161
65,132,12,13,9,166,36,11,81,48,45,72,27,190,74,15,53,132,179
59,72,11,11,9,174,21,11,44,50,59,49,22,96,91,20,26,112,137
41,87,15,25,7,95,21,8,30,54,70,19,77,101,94,15,32,82,57
73,140,18,11,22,175,62,11,38,92,96,87,42,135,139,21,57,103,131
43,146,19,17,25,149,15,8,37,54,48,69,48,181,135,18,34,82,139
51,148,20,10,29,189,16,25,70,47,41,85,40,187,21,39,43,117,140
49,232,11,8,21,140,20,14,46,61,38,68,32,96,9,26,59,96,76
29,187,20,9,22,204,11,13,55,77,31,60,30,73,3,32,62,87,70
13,129,8,11,13,239,16,18,68,87,40,74,15,71,4,30,61,196,110
10,126,12,12,34,150,18,11,74,91,61,95,8,35,2,11,113,227,75
16,145,28,14,26,218,25,10,151,84,81,152,30,54,1,56,122,53,94
5,174,34,13,75,215,24,20,143,95,65,151,26,53,4,90,75,18,108
10,142,28,10,95,212,17,21,120,65,50,186,33,46,12,137,73,9,100
15,141,14,12,77,194,8,29,139,64,63,209,18,41,6,317,105,9,159
9,60,15,31,118,202,14,17,72,60,44,182,44,33,21,439,50,48,174
30,119,13,35,132,206,11,69,70,33,33,148,70,21,41,437,61,111,199
22,119,9,36,173,218,13,133,73,66,150,125,35,35,38,560,91,74,233
16,22,11,31,98,211,9,123,14,47,113,44,40,14,25,543,53,25,222
22,156,10,22,105,201,35,142,35,72,177,235,49,4,24,699,88,170,205
15,257,3,114,143,140,11,247,65,62,115,259,319,4,34,767,78,167,216
16,220,26,34,217,159,43,386,56,95,146,223,67,11,55,1002,44,242,290
43,156,13,39,355,129,37,576,104,65,136,157,32,18,48,1001,41,250,286
33,285,23,38,516,173,53,684,109,64,176,170,58,19,54,1129,53,380,433
35,334,34,24,435,383,73,552,268,92,143,154,62,49,46,921,67,409,524
59,381,28,77,563,966,74,742,309,118,141,213,89,66,39,906,81,377,621
88,228,71,77,659,1160,63,758,201,117,158,233,282,32,56,830,107,484,626
101,192,49,57,1103,1423,90,1248,131,63,106,156,294,36,62,882,101,341,977
220,166,39,66,1374,1818,68,1883,127,137,82,137,209,34,72,906,95,493,1068
393,230,52,74,1219,1782,97,1931,166,171,144,169,205,68,113,1077,152,440,1146
1142,338,52,85,1231,1860,52,1959,219,130,248,176,190,51,97,1205,186,427,1285
1768,241,137,73,958,2198,74,1702,111,74,207,215,197,55,122,1147,132,331,1197
2757,176,72,62,1178,2620,95,2345,67,34,120,196,215,50,108,1364,153,292,1323
3266,180,24,31,1355,2965,31,1690,76,38,97,173,167,58,192,1439,101,353,1927
2702,128,7,35,1272,2349,19,1280,70,16,77,130,121,41,138,1706,87,268,1776
3843,168,19,75,1818,3151,25,2518,156,113,159,137,157,58,190,1979,179,370,2059
2979,246,22,46,1321,2652,21,2091,148,316,176,200,151,65,218,1706,325,385,1878
3652,291,13,59,1592,3612,26,2296,185,333,246,205,171,300,268,2459,363,352,2610
3986,199,9,49,1502,3190,14,2403,162,171,266,121,87,119,259,2211,399,358,2687
4904,210,10,37,1761,3310,7,2837,145,127,242,89,93,75,309,2381,400,358,2887
5448,140,9,69,1732,3271,22,3092,197,143,227,89,124,23,302,2368,512,420,2353
6208,127,11,70,1693,3165,22,2930,191,150,235,113,120,28,355,2833,566,407,2896
5135,149,4,98,1626,3201,6,3055,164,109,213,146,112,34,241,3073,714,605,2567
4437,129,9,142,1556,3290,13,2891,201,68,180,106,97,27,383,2776,563,747,2414
4759,99,14,95,1601,3445,34,3122,176,40,141,210,55,41,285,2900,531,852,2098
