事发街道,事发区县,月份,立案量,年份,均值,方差,数据量,出线,日期
白纸坊,西城区,-01-,69,2015,1226.875,1912.279865,48,0,Jan-15
白纸坊,西城区,-02-,91,2015,1226.875,1912.279865,48,0,Feb-15
白纸坊,西城区,-03-,101,2015,1226.875,1912.279865,48,0,Mar-15
白纸坊,西城区,-04-,62,2015,1226.875,1912.279865,48,0,Apr-15
白纸坊,西城区,-05-,65,2015,1226.875,1912.279865,48,0,May-15
白纸坊,西城区,-06-,59,2015,1226.875,1912.279865,48,0,Jun-15
白纸坊,西城区,-07-,41,2015,1226.875,1912.279865,48,0,Jul-15
白纸坊,西城区,-08-,73,2015,1226.875,1912.279865,48,0,Aug-15
白纸坊,西城区,-09-,43,2015,1226.875,1912.279865,48,0,Sep-15
白纸坊,西城区,-10-,51,2015,1226.875,1912.279865,48,0,Oct-15
白纸坊,西城区,-11-,49,2015,1226.875,1912.279865,48,0,Nov-15
白纸坊,西城区,-12-,29,2015,1226.875,1912.279865,48,0,Dec-15
白纸坊,西城区,-01-,13,2016,1226.875,1912.279865,48,0,Jan-16
白纸坊,西城区,-02-,10,2016,1226.875,1912.279865,48,0,Feb-16
白纸坊,西城区,-03-,16,2016,1226.875,1912.279865,48,0,Mar-16
白纸坊,西城区,-04-,5,2016,1226.875,1912.279865,48,0,Apr-16
白纸坊,西城区,-05-,10,2016,1226.875,1912.279865,48,0,May-16
白纸坊,西城区,-06-,15,2016,1226.875,1912.279865,48,0,Jun-16
白纸坊,西城区,-07-,9,2016,1226.875,1912.279865,48,0,Jul-16
白纸坊,西城区,-08-,30,2016,1226.875,1912.279865,48,0,Aug-16
白纸坊,西城区,-09-,22,2016,1226.875,1912.279865,48,0,Sep-16
白纸坊,西城区,-10-,16,2016,1226.875,1912.279865,48,0,Oct-16
白纸坊,西城区,-11-,22,2016,1226.875,1912.279865,48,0,Nov-16
白纸坊,西城区,-12-,15,2016,1226.875,1912.279865,48,0,Dec-16
白纸坊,西城区,-01-,16,2017,1226.875,1912.279865,48,0,Jan-17
白纸坊,西城区,-02-,43,2017,1226.875,1912.279865,48,0,Feb-17
白纸坊,西城区,-03-,33,2017,1226.875,1912.279865,48,0,Mar-17
