朝阳门,大红门,德胜,东华门,东铁营,卢沟桥乡,马家堡,前门,王佐镇,西罗园,西长安街,右安门,月坛
50,7,14,216,31,75,17,60,29,8,9,6,107
50,6,7,188,25,22,8,30,3,2,2,1,60
89,10,19,380,41,41,5,71,21,4,13,5,100
110,19,23,415,44,71,7,130,21,13,33,4,152
146,10,31,473,49,57,10,86,44,9,37,3,151
126,7,50,404,42,37,9,69,16,9,37,4,161
123,15,14,406,59,48,10,67,85,7,28,3,57
127,17,22,390,73,49,7,87,53,25,13,4,148
96,21,11,279,90,30,12,95,76,16,23,5,103
79,7,29,383,58,53,6,142,131,6,42,9,131
74,15,21,308,59,57,3,103,139,7,39,2,109
101,26,19,259,71,62,6,127,98,7,72,2,55
43,9,13,142,42,55,5,121,75,10,26,5,54
38,6,3,143,22,28,2,62,41,6,14,2,24
103,11,17,321,35,48,5,168,94,4,31,2,66
87,12,13,430,44,50,7,184,108,3,48,6,99
95,15,8,433,58,41,9,188,138,7,43,4,122
93,28,36,381,59,54,8,157,126,10,49,8,81
112,21,30,408,57,55,10,179,98,8,76,15,85
81,18,11,379,21,67,4,180,59,6,58,7,68
122,19,14,334,16,74,8,225,105,5,60,13,76
89,13,17,330,11,63,1,248,27,3,108,1,119
75,40,20,443,50,105,11,187,35,4,175,4,120
9,172,5,98,145,179,105,47,134,21,47,19,49
37,44,1,254,45,60,7,105,40,4,23,7,47
31,57,7,222,42,43,12,79,26,3,18,3,37
94,82,6,544,60,80,12,127,203,5,62,6,68
157,57,16,749,45,72,14,131,96,3,75,3,126
190,104,37,806,66,84,26,187,49,4,128,5,153
184,103,33,630,74,168,45,130,66,31,73,11,114
170,100,33,712,87,166,57,117,116,40,73,7,155
154,71,39,658,90,101,36,112,118,27,75,14,134
131,94,24,798,84,125,41,80,143,29,66,23,144
152,199,16,449,96,137,24,86,83,27,117,13,102
300,86,26,782,97,154,27,120,62,16,69,17,125
204,91,23,716,113,126,36,152,32,32,46,18,110
108,92,7,232,50,142,33,70,32,50,20,16,123
97,47,5,195,33,91,9,44,13,12,13,6,59
101,124,6,312,20,104,29,65,33,45,34,20,93
105,141,7,457,38,113,36,101,44,35,106,19,140
139,73,19,326,47,99,30,59,83,28,118,13,199
60,62,25,247,36,35,17,63,36,21,63,13,128
71,71,15,148,27,45,32,64,42,21,101,27,132
94,71,27,266,73,52,28,89,38,21,86,16,112
99,94,37,209,56,45,27,129,34,47,100,13,145
82,97,34,108,54,53,32,126,23,91,177,11,150
69,87,22,134,36,59,17,75,24,24,128,7,109
36,96,17,63,61,33,40,17,12,32,83,34,115
